Product Name,Author,Price,Ratings
Dead Man Shake [Disco de Vinil],Grandpa Boy,"R$126,57","4,6 de 5 estrelas"
Stone Crazy! [Disco de Vinil],Buddy Guy,"R$176,43","4,6 de 5 estrelas"
Black Magic [Disco de Vinil],Magic Sam Blues Band,"R$140,70","4,5 de 5 estrelas"
Not The Same Old Blues Crap 1 / Various [Disco de Vinil],unknown-author,"R$152,10",-1
Wish I Was In Heaven Sitting Down,R.L. Burnside,"R$146,55","4,5 de 5 estrelas"
Blue [Disco de Vinil],JONI MITCHELL,"R$215,37","4,7 de 5 estrelas"
Mais opções de compra,unknown-author,Worried [Disco de Vinil],"R$126,94"
Most Things Haven't Worked Out [Disco de Vinil],Junior Kimbrough,"R$140,88","4,7 de 5 estrelas"
Too Bad Jim [Disco de Vinil],R.L. Burnside,"R$141,96","4,6 de 5 estrelas"
Mr. Wizard [Disco de Vinil],R.L. Burnside,"R$126,87","4,5 de 5 estrelas"
The Hook And Sling [Disco de Vinil],Eddie Bo and The Soul Finders,"R$162,96",-1
Mais opções de compra,unknown-author,House Of The Blues [Disco de Vinil],"R$189,69"
Mais opções de compra,unknown-author,Bring Em In [Disco de Vinil],"R$272,31"
Sweet Tea [Disco de Vinil],"GUY,BUDDY","R$297,81","4,6 de 5 estrelas"
The Essential Stevie Ray Vaughan And Double Trouble [Disco de Vinil],Stevie Ray Vaughan & Double Trouble,"R$206,55","4,6 de 5 estrelas"
Unforgettable [Disco de Vinil],Nat King Cole,"R$167,25","4,7 de 5 estrelas"
Blues,Rory Gallagher,"R$258,03","4,7 de 5 estrelas"
"Folk Festival Of The Blues With Muddy Waters, Howlin Wolf, Buddy Guy,Sonny Boy Williamson, Willie Dixon / Various [Disco de Vinil]","WATERS,MUDDY; HOWLIN WOLF; BUDDY GUY; SONNY BOY WILLIAMSON; WILLIE DIXON","R$155,96","4,7 de 5 estrelas"
The Best Of Muddy Waters [Disco de Vinil],Muddy Waters,"R$155,07","4,7 de 5 estrelas"
American Epic: The Best Of Mississippi John Hurt [Disco de Vinil],MISSISSIPPI JOHN HURT,"R$161,18","5,0 de 5 estrelas"
Platinum Collection,Etta James,"R$223,35","4,8 de 5 estrelas"
Eric Clapton - Unplugged [Disco de Vinil],Eric Clapton,"R$393,84","4,7 de 5 estrelas"
Who Shot John [Disco de Vinil],unknown-author,"R$158,83",-1
The Big Blues [Disco de Vinil],Albert King,"R$178,86","4,7 de 5 estrelas"
In The Heart Of The Moon [Disco de Vinil],"TOURE,ALI FARKA","R$215,04","4,7 de 5 estrelas"
Slipstream [Disco de Vinil],Bonnie Raitt,"R$288,90","4,6 de 5 estrelas"
You Better Run: The Essential Junior Kimbrough,Junior Kimbrough,"R$154,18","4,7 de 5 estrelas"
Remember Me [Disco de Vinil],Charles Caldwell,"R$126,87","5,0 de 5 estrelas"
Killing Floor: Blues Essentials [Disco de Vinil],Howlin' Wolf,"R$153,85","3,4 de 5 estrelas"
Revelator [Disco de Vinil],Tedeschi Trucks Band,"R$218,47","4,6 de 5 estrelas"
The Best Of Booker T. and The M.G.s [Disco de Vinil],Booker T. & The Mg S,"R$275,37","4,2 de 5 estrelas"
Boogie with Canned Heat [Disco de Vinil],CANNED HEAT,"R$335,53","5,0 de 5 estrelas"
Couldnt Stand the Weather,"Vaughan, Stevie Ray","R$265,59","4,9 de 5 estrelas"
Projections [Mono Edition] [Disco de Vinil],The Blues Project,"R$213,15","4,4 de 5 estrelas"
Joni Mitchell - The Hissing Of Summer Lawns [Disco de Vinil],Joni Mitchell,"R$313,90","4,7 de 5 estrelas"
First Recordings [Disco de Vinil],Junior Kimbrough,"R$139,02","4,6 de 5 estrelas"
Dog House Music [Disco de Vinil],Seasick Steve,"R$370,06","4,5 de 5 estrelas"
Skin Deep [Disco de Vinil],Buddy Guy,"R$204,54","4,6 de 5 estrelas"
First Recordings [Disco de Vinil],R.L. Burnside,"R$141,50","4,8 de 5 estrelas"
Hot Foot Powder [Disco de Vinil],Peter Green,"R$217,15","4,8 de 5 estrelas"
Mais opções de compra,unknown-author,Keb Mo [Disco de Vinil],"R$221,31"
Mais opções de compra,unknown-author,Burnin (Limited 180 Gram Audiophile Pressing) [Disco de Vinil],"R$197,24"
Get It [Disco de Vinil],Tinsley Ellis,"R$157,74","4,3 de 5 estrelas"
Hail To The Kings! [Disco de Vinil],CASH BOX KINGS,"R$179,77","4,5 de 5 estrelas"
Mais opções de compra,unknown-author,King Bee [Disco de Vinil],"R$277,41"
City Night,SAVOY BROWN,"R$188,78","4,6 de 5 estrelas"
The Traveler,Kenny Wayne Shepherd,"R$199,89","4,7 de 5 estrelas"
Collected [Disco de Vinil],"CRAY,ROBERT","R$255,99","4,7 de 5 estrelas"
James Cotton - Late Night Blues [Disco de Vinil],James Cotton,"R$206,90",-1
Off At 11 [Disco de Vinil],JD SIMO,"R$129,48","4,8 de 5 estrelas"
Baby Please Come Home,"VAUGHAN,JIMMIE","R$184,39","4,5 de 5 estrelas"
Mourning In The Morning,"RUSH,OTIS","R$171,02","4,1 de 5 estrelas"
Walking To New Orleans,George Benson,"R$177,00","4,8 de 5 estrelas"
I Wanna Tell You [Disco de Vinil],unknown-author,"R$141,13",-1
Mais opções de compra,unknown-author,The Eastwest Sessions [Disco de Vinil],"R$188,67"
Blues Deluxe,Joe Bonamassa,"R$239,44","4,7 de 5 estrelas"
Blue & Lonesome,The Rolling Stones,"R$271,02","4,3 de 5 estrelas"
Hogtied Revisited [Disco de Vinil],WHITE BUFFALO,"R$209,07","5,0 de 5 estrelas"
Mais opções de compra,unknown-author,Blues The Whole Blues And Nothing But [Disco de Vinil],"R$204,09"
Matters Of The Heart [Disco de Vinil],unknown-author,"R$156,06",-1
Live At The Greek Theatre [Disco de Vinil],Joe Bonamassa,"R$356,97","4,8 de 5 estrelas"
Redemption [Disco de Vinil],Joe Bonamassa,"R$393,27","4,8 de 5 estrelas"
Wild,Joanne Shaw Taylor,"R$211,11","4,6 de 5 estrelas"
