Product Name,Author,Price,Ratings
Cash-a-likes / Various [Disco de Vinil],unknown-author,"R$213,06",-1
Shady Grove,"GARCIA,JERRY / GRISMAN,DAVID","R$561,63","4,6 de 5 estrelas"
Golden Road [Disco de Vinil],Keith Urban,"R$193,31","4,6 de 5 estrelas"
Fuse [Disco de Vinil],Keith Urban,"R$145,26","4,7 de 5 estrelas"
Get Closer [Disco de Vinil],Keith Urban,"R$144,24","4,7 de 5 estrelas"
Tattooed Heart,Ronnie Dunn,"R$144,63","4,7 de 5 estrelas"
Tangled Up [Disco de Vinil],Thomas Rhett,"R$194,17","4,7 de 5 estrelas"
Up! [Disco de Vinil],Shania Twain,"R$263,00","4,5 de 5 estrelas"
Up! [Disco de Vinil],Shania Twain,"R$232,53","4,5 de 5 estrelas"
Buck Owens,Buck Owens,"R$159,92","4,6 de 5 estrelas"
My Gospel [Disco de Vinil],Paul Cauthen,"R$207,44","4,7 de 5 estrelas"
Workbench Songs,Guy Clark,"R$176,43","4,8 de 5 estrelas"
Dan Layus - Dangerous Things [Disco de Vinil],Dan Layus,"R$228,45","4,9 de 5 estrelas"
Cold Beer Conversation,George Strait,"R$144,11","4,7 de 5 estrelas"
"Swimming' Pools, Movie Stars... [Disco de Vinil]",Dwight Yoakam,"R$161,81","4,7 de 5 estrelas"
Shine On Rainy Day [Disco de Vinil],Brent Cobb,"R$142,26","4,7 de 5 estrelas"
She Remembers Everything [Disco de Vinil],Rosanne Cash,"R$162,96","4,6 de 5 estrelas"
Ticket To L.A. [Disco de Vinil],Brett Young,"R$162,04","4,8 de 5 estrelas"
Diamonds and Gasoline [Disco de Vinil],Turnpike Troubadours,"R$213,91","4,7 de 5 estrelas"
Somewhere In Between [Disco de Vinil],Adam Hood,"R$148,86",-1
Something More Than Free,Jason Isbell,"R$243,86","4,8 de 5 estrelas"
Always On My Mind,Willie Nelson,"R$269,59","4,8 de 5 estrelas"
WW III,Wheeler Walker Jr.,"R$141,40","4,7 de 5 estrelas"
This One's For You Too [Disco de Vinil],Luke Combs,"R$201,79","4,8 de 5 estrelas"
Old News [Disco de Vinil],The Steel Woods,"R$176,43","4,8 de 5 estrelas"
Nick 13 [Disco de Vinil],Nick 13,"R$170,23","4,9 de 5 estrelas"
Jekyll + Hyde [Disco de Vinil],Zac Brown Band,"R$157,71","4,4 de 5 estrelas"
