Product Name,Author,Price,Ratings
God Hates Us All [Disco de Vinil],SLAYER,"R$188,85","4,6 de 5 estrelas"
South of Heaven [Disco de Vinil],SLAYER,"R$215,53","4,8 de 5 estrelas"
Thirteenth Step [Disco de Vinil],PERFECT CIRCLE,"R$247,20","4,6 de 5 estrelas"
Destroyer: Resurrected [Disco de Vinil],KISS,"R$226,41","4,4 de 5 estrelas"
Monster [Disco de Vinil],Kiss,"R$263,78","4,3 de 5 estrelas"
Virtual XI,Iron Maiden,"R$317,34","4,5 de 5 estrelas"
Shout at the Devil [Disco de Vinil],Motley Crue,"R$141,56","4,8 de 5 estrelas"
Live in Leipzig [Disco de Vinil],Mayhem,"R$219,27","4,7 de 5 estrelas"
Christ Illusion [Disco de Vinil],SLAYER,"R$253,80","4,6 de 5 estrelas"
Epicus Doomicus Metallicus [Disco de Vinil],Candlemass,"R$216,21","4,9 de 5 estrelas"
Led Zeppelin [Disco de Vinil],Led Zeppelin,"R$299,90","4,8 de 5 estrelas"
High Voltage [Disco de Vinil],AC/DC,"R$250,77","4,7 de 5 estrelas"
Hysteria [Disco de Vinil],Def Leppard,"R$195,00","4,8 de 5 estrelas"
Hellbilly Deluxe [Disco de Vinil],Rob Zombie,"R$198,06","4,6 de 5 estrelas"
Chaos A.D. (Expanded Edition)(2LP) [Disco de Vinil],Sepultura,"R$257,89","4,7 de 5 estrelas"
Let There Be Rock [Disco de Vinil],AC/DC,"R$183,26","4,9 de 5 estrelas"
Led Zeppelin - Physical Graffiti [Disco de Vinil],Led Zeppelin,"R$369,40","4,7 de 5 estrelas"
Iron Maiden [Disco de Vinil],IRON MAIDEN,"R$149,90","4,8 de 5 estrelas"
Iron Maiden - Somewhere In Time [Disco de Vinil],Iron Maiden,"R$185,00","4,7 de 5 estrelas"
Led Zeppelin - Led Zeppelin IV [Disco de Vinil],Led Zeppelin,"R$159,90","4,7 de 5 estrelas"
Tattooed Millionaire [Disco de Vinil],Bruce Dickinson,"R$194,00","4,4 de 5 estrelas"
Sammy Hagar And The Circle - Space Between [Disco de Vinil],Sammy Hagar & The Circle,"R$415,80","4,6 de 5 estrelas"
Rocka Rolla [Disco de Vinil],Judas Priest,"R$147,00","4,5 de 5 estrelas"
With The 21st Century Symphony Orchestra & Chorus [Disco de Vinil],Foreigner,"R$201,18","4,5 de 5 estrelas"
Killing Machine [Disco de Vinil],Judas Priest,"R$180,53","4,7 de 5 estrelas"
Master Of Puppets [Disco de Vinil],Metallica,"R$204,83","4,6 de 5 estrelas"
Tonight's Decision [Disco de Vinil],Katatonia,"R$194,00","4,4 de 5 estrelas"
Use Your Illusion II [Disco de Vinil],GUNS N ROSES,"R$190,00","4,6 de 5 estrelas"
...And Justice For All (Remastered)(2LP),Metallica,"R$266,81","4,8 de 5 estrelas"
British Steel,Judas Priest,"R$165,00","4,7 de 5 estrelas"
Houses of the Holy [Disco de Vinil],Led Zeppelin,"R$279,00","4,6 de 5 estrelas"
Infestissumam [Disco de Vinil],GHOST B.C.,"R$216,13","4,6 de 5 estrelas"
Alice Cooper - Dada [Disco de Vinil],Alice Cooper,"R$221,31","4,7 de 5 estrelas"
Iron Maiden - A Matter Of Life And Death [Disco de Vinil],Iron Maiden,"R$634,34","4,6 de 5 estrelas"
Unleashed In The East: Live In Japan [Disco de Vinil],Judas Priest,"R$165,00","4,6 de 5 estrelas"
The Book Of Souls [3 LP] [Disco de Vinil],Iron Maiden,"R$307,17","4,7 de 5 estrelas"
Led Zeppelin - Presence [Disco de Vinil],Led Zeppelin,"R$159,90","4,7 de 5 estrelas"
Flick of the Switch [Disco de Vinil],AC/DC,"R$172,41","4,5 de 5 estrelas"
For Those About to Rock We Salute You [Disco de Vinil],AC/DC,"R$167,64","4,7 de 5 estrelas"
Enthrone Darkness Triumphant,DIMMU BORGIR,"R$239,67","4,7 de 5 estrelas"
Micro [Disco de Vinil],Jinjer,"R$178,00","4,7 de 5 estrelas"
Hexhammeren [Disco de Vinil],Martyrdöd,"R$144,73",-1
Reverence [Disco de Vinil],Emperor,"R$101,15","4,5 de 5 estrelas"
Old Star,Darkthrone,"R$219,27","4,8 de 5 estrelas"
Better Motorhead Than Dead (Live At Hammersmith) [Disco de Vinil],Motörhead,"R$377,34","4,8 de 5 estrelas"
Twin Temple (Bring You Their Signature Sound Satanic Doo-wop) [Disco de Vinil],Twin Temple,"R$194,19","4,4 de 5 estrelas"
Megadeth - The World Needs A Hero [Disco de Vinil],Megadeth,"R$232,53","4,5 de 5 estrelas"
Garden Of The Titans (opeth Live At Red Rocks Amphitheatre) [Disco de Vinil],OPETH,"R$287,16","4,8 de 5 estrelas"
Massive - Full Throttle [Disco de Vinil],Massive,"R$247,90","4,7 de 5 estrelas"
Lost Paradise [Disco de Vinil],Paradise Lost,"R$208,40","4,7 de 5 estrelas"
TerrorVision,Aborted,"R$213,32","4,7 de 5 estrelas"
Songs For The Dead Live [Disco de Vinil],King Diamond,"R$264,15","4,8 de 5 estrelas"
Wild at Heart [Disco de Vinil],unknown-author,"R$155,50",-1
Nazareth - Loud Proud! Anthology [Disco de Vinil],Nazareth,"R$249,87","4,8 de 5 estrelas"
Rise [Disco de Vinil],unknown-author,"R$624,57",-1
Carnival of Chaos,Gwar,"R$288,54","4,8 de 5 estrelas"
Thieving From The House Of God [Disco de Vinil],Orange Goblin,"R$208,33","4,8 de 5 estrelas"
Big Black [Disco de Vinil],Orange Goblin,"R$250,89","4,6 de 5 estrelas"
The Eye [Disco de Vinil],KING DIAMOND,"R$231,51","4,1 de 5 estrelas"
Epica Vs Attack On Titan Songs,EPICA,"R$218,25","4,7 de 5 estrelas"
Coup De Grace [Disco de Vinil],Orange Goblin,"R$242,74","4,5 de 5 estrelas"
Pantera - History Of Hostility [Disco de Vinil],Pantera,"R$158,36","4,5 de 5 estrelas"
Abysmal [Disco de Vinil],The Black Dahlia Murder,"R$216,75","4,6 de 5 estrelas"
Surgical Steel,CARCASS,"R$252,93","4,9 de 5 estrelas"
Transcendental [Disco de Vinil],Mono / The Ocean,"R$162,53","4,0 de 5 estrelas"
Tribute To Bathory / Various [Disco de Vinil],VARIOUS ARTISTS,"R$235,59",-1
Origins of Ruin [Disco de Vinil],REDEMPTION,"R$232,14",-1
Conquest [Disco de Vinil],Uriah Heep,"R$343,61","4,6 de 5 estrelas"
Dream Police [Disco de Vinil],Cheap Trick,"R$168,97","4,7 de 5 estrelas"
Sweet Freedom [Disco de Vinil],Uriah Heep,"R$254,97","4,4 de 5 estrelas"
Uriah Heep - Head First [Disco de Vinil],Uriah Heep,"R$214,90","4,2 de 5 estrelas"
Nightly Disease [Disco de Vinil],MADRUGADA,"R$213,15","4,8 de 5 estrelas"
Under Lock and Key [Disco de Vinil],Dokken,"R$268,83","4,7 de 5 estrelas"
Angels Fall First [Disco de Vinil],Nightwish,"R$229,86","4,5 de 5 estrelas"
Dim And Slimeridden Kingdoms [Disco de Vinil],Slugdge,"R$218,11","5,0 de 5 estrelas"
Time and Trauma [Disco de Vinil],36 Crazyfists,"R$195,06","4,9 de 5 estrelas"
Privilege of Power [Disco de Vinil],RIOT,"R$268,23","4,4 de 5 estrelas"
Mais opções de compra,unknown-author,The Always Open Mouth [Disco de Vinil],"R$243,75"
Endless Pain,Kreator,"R$234,02","4,5 de 5 estrelas"
Retribution [Disco de Vinil],MALEVOLENT CREATION,"R$318,56","5,0 de 5 estrelas"
Gravebloom,The Acacia Strain,"R$147,77","4,5 de 5 estrelas"
Mais opções de compra,unknown-author,Big H: The Hellanbach Anthology [Disco de Vinil],"R$207,03"
