Product Name,Price,Ratings
Seven Secrets [Disco de Vinil],"R$155,07","4,7 de 5 estrelas"
The Allen Toussaint Collection [Disco de Vinil],"R$196,05","4,2 de 5 estrelas"
Look Out: Rudy Van Gelder Recordings [Disco de Vinil],"R$155,01","4,8 de 5 estrelas"
The Dreamer Is The Dream [Disco de Vinil],"R$211,44","4,2 de 5 estrelas"
Big Bad Voodoo Daddy,"R$203,88","3,8 de 5 estrelas"
Max Richter - Out Of The Dark Room [Disco de Vinil],"R$381,45","4,6 de 5 estrelas"
Turn Up The Quiet [Disco de Vinil],"R$231,51","4,5 de 5 estrelas"
On The French Riviera + Bonus Tracks [Disco de Vinil],"R$144,40",-1
Take Five: Great Jazz Instrumentals / Various [Disco de Vinil],"R$197,00","5,0 de 5 estrelas"
Themes for Secret Agents [Disco de Vinil],"R$196,45","5,0 de 5 estrelas"
I Go Back Home [Disco de Vinil],"R$344,73","4,8 de 5 estrelas"
Live In Tokyo,"R$367,79","4,4 de 5 estrelas"
Planetary Prince [Disco de Vinil],"R$224,65","4,8 de 5 estrelas"
Dino: Italian Love Songs [Disco de Vinil],"R$158,01","4,6 de 5 estrelas"
Up And Coming [Disco de Vinil],"R$198,87","4,7 de 5 estrelas"
On A Monday Evening (Live) [Disco de Vinil],"R$216,56","4,4 de 5 estrelas"
Miles Ahead [Mono] [Disco de Vinil],"R$204,73","4,5 de 5 estrelas"
Spectrum [Disco de Vinil],"R$223,00","5,0 de 5 estrelas"
Black Byrd,"R$144,63","4,4 de 5 estrelas"
Out to Lunch [Disco de Vinil],"R$158,01","4,5 de 5 estrelas"
"Now He Sings, Now He Sobs","R$221,31","4,8 de 5 estrelas"
Platinum Collection (White Vinyl) [Disco de Vinil],"R$250,00","4,8 de 5 estrelas"
Heavy Weather [Disco de Vinil],"R$164,05","4,9 de 5 estrelas"
Contours - Blue Note Tone Poet Series,"R$268,43","4,9 de 5 estrelas"
Etcetera [Disco de Vinil],"R$276,92","4,7 de 5 estrelas"
Both Directions At Once: The Lost Album,"R$306,94","4,7 de 5 estrelas"
What A Difference A Day Makes [Disco de Vinil],"R$125,00","4,8 de 5 estrelas"
In The Wee Small Hours,"R$185,65","4,7 de 5 estrelas"
Alone Together [Disco de Vinil],"R$156,00","4,6 de 5 estrelas"
Clubhouse [Disco de Vinil],"R$254,17","4,9 de 5 estrelas"
Black Fire [Disco de Vinil],"R$249,11","4,4 de 5 estrelas"
Beach Boys With Royal Philharmonic Orchestra (2 Lp/Orange Vinyl) [Disco de Vinil],"R$244,32","5,0 de 5 estrelas"
Return Of The Fabric Four [Disco de Vinil],"R$226,41","4,9 de 5 estrelas"
Beautiful Vinyl Hunter [Disco de Vinil],"R$250,89","4,8 de 5 estrelas"
"Young Man With The Horn, Vol. 3 [Disco de Vinil]","R$193,77","4,5 de 5 estrelas"
Star People Nation,"R$234,22","4,8 de 5 estrelas"
Starting Today [Disco de Vinil],"R$153,95","4,9 de 5 estrelas"
Anecdotal Electronics [Disco de Vinil],"R$167,25",-1
Be Cool,"R$288,63","4,6 de 5 estrelas"
Soul Jazz Records Presents Lloyd Mcneill: Treasure [Disco de Vinil],"R$215,19",-1
Open Sesame [Disco de Vinil],"R$190,71","4,7 de 5 estrelas"
The Sisters [Disco de Vinil],"R$176,83",-1
Baby Blue Eyes,"R$243,17","4,2 de 5 estrelas"
Raga Jazz Style [Disco de Vinil],"R$187,40",-1
Trypnotyx [Disco de Vinil],"R$198,87","4,5 de 5 estrelas"
Introducing Johnny Griffin [Disco de Vinil],"R$193,24","4,1 de 5 estrelas"
"Currents, Constellations","R$170,31","4,8 de 5 estrelas"
Be Known Ancient / Future / Music,"R$307,60",-1
United We Swing [Disco de Vinil],"R$233,55","4,7 de 5 estrelas"
Music Never Stops,"R$226,41","4,6 de 5 estrelas"
"Stomps, Rags & Blues I Love To Sing [Disco de Vinil]","R$165,21",-1
Sister Orchid [Disco de Vinil],"R$138,66","4,1 de 5 estrelas"
J Jazz ? Deep Modern Jazz From Japan 1969 ? 1983 Volume 2 [Disco de Vinil],"R$278,43","4,9 de 5 estrelas"
Fire [Disco de Vinil],"R$279,45",-1
Dreams Of A Love Supreme,"R$211,11",-1
Invitation [Disco de Vinil],"R$213,15","4,9 de 5 estrelas"
First Impressions,"R$362,91","5,0 de 5 estrelas"
Structuralism [Disco de Vinil],"R$306,14","5,0 de 5 estrelas"
Pithecanthropus Erectus [Disco de Vinil],"R$148,89","4,8 de 5 estrelas"
Mandatory Reality [Disco de Vinil],"R$303,93","5,0 de 5 estrelas"
From Outer Space [Disco de Vinil],"R$180,00",-1
Symphony Of Hits [Disco de Vinil],"R$216,00","4,6 de 5 estrelas"
C.H.R.O.N.O.S. [Disco de Vinil],"R$192,22",-1
Swingin Miss D (With Quincy Jones & His Orchestra) [Disco de Vinil],"R$152,97","4,8 de 5 estrelas"
Flood,"R$628,40","5,0 de 5 estrelas"
Whipped Cream & Other Delights [Disco de Vinil],"R$167,40","4,7 de 5 estrelas"
Night at Birdland with Art Blakey Quintet Vol 1 [Disco de Vinil],"R$133,14","4,4 de 5 estrelas"
Source,"R$196,83","4,2 de 5 estrelas"
Happenings [Disco de Vinil],"R$159,36","4,2 de 5 estrelas"
Bugge & Friends (180G Vinyl) [Disco de Vinil],"R$208,05","4,7 de 5 estrelas"
Night Hawk (With Eddie Lockjaw Davis) [Disco de Vinil],"R$152,19","4,6 de 5 estrelas"
A Winter Romance [Disco de Vinil],"R$153,25","4,5 de 5 estrelas"
Judy at Carnegie Hall [Disco de Vinil],"R$247,83","4,8 de 5 estrelas"
Live at the London Palladium [Disco de Vinil],"R$239,44","5,0 de 5 estrelas"
September of My Years [Disco de Vinil],"R$190,71","4,6 de 5 estrelas"
Circe (120G Vinyl) [Disco de Vinil],"R$199,89","5,0 de 5 estrelas"
Treasure Island [Disco de Vinil],"R$180,41","4,7 de 5 estrelas"
Blowin' The Blues Away,"R$156,00","4,7 de 5 estrelas"
Someday My Prince Will Come [Disco de Vinil],"R$169,80","4,6 de 5 estrelas"
Porgy and Bess [Mono] [Disco de Vinil],"R$151,98","4,4 de 5 estrelas"
Ascension [Disco de Vinil],"R$191,76","4,8 de 5 estrelas"
The Sorcerer [Disco de Vinil],"R$192,58","4,4 de 5 estrelas"
Great Summit [Disco de Vinil],"R$154,38","4,7 de 5 estrelas"
Waltz for Debby,"R$151,40","4,5 de 5 estrelas"
Sunday At The Village Vanguard [LP],"R$162,96","4,7 de 5 estrelas"
Relaxin with the Miles Davis Quintet [Disco de Vinil],"R$184,52","4,6 de 5 estrelas"
Dark Magus [Disco de Vinil],"R$209,07","4,8 de 5 estrelas"
The K”ln Concert [2 LP],"R$251,91","4,7 de 5 estrelas"
Quiet Nights [Disco de Vinil],"R$210,78","4,3 de 5 estrelas"
The Very Best Of Diana Krall [Disco de Vinil],"R$273,29","4,6 de 5 estrelas"
Crescent,"R$189,69","4,6 de 5 estrelas"
