Product Name,Author,Price,Ratings
The Pocket Watch [Disco de Vinil],Pan Amsterdam,"R$160,91","5,0 de 5 estrelas"
Paper Trail [Disco de Vinil],T.I.,"R$201,93","4,5 de 5 estrelas"
Hell's Pit [Disco de Vinil],Insane Clown Posse,"R$231,51","5,0 de 5 estrelas"
Cool Minute / Instrumental [Disco de Vinil],XL Middleton,"R$85,89",-1
Goodbye & Good Riddance [Disco de Vinil],Juice WRLD,"R$183,34","4,0 de 5 estrelas"
Head In The Clouds [Disco de Vinil],88Rising,"R$264,41","4,1 de 5 estrelas"
Pain Collector [Disco de Vinil],"PAZ,VINNIE","R$243,75","4,6 de 5 estrelas"
Dah Shinin' [Disco de Vinil],SMIF N WESSUN,"R$305,61","4,5 de 5 estrelas"
Mi Vida Local [Disco de Vinil],Atmosphere,"R$232,18","4,7 de 5 estrelas"
Nasir,NAS,"R$137,80","4,3 de 5 estrelas"
I Want to Die in New Orleans [Disco de Vinil],$uicideboy$,"R$176,40","4,4 de 5 estrelas"
Finding Forever [Disco de Vinil],Common,"R$200,00","4,5 de 5 estrelas"
Head Trauma [Disco de Vinil],HOK,"R$252,85",-1
D.j. Rap [Disco de Vinil],POOR BOY RAPPERS,"R$111,08",-1
Score [Disco de Vinil],FUGEES,"R$263,13","4,8 de 5 estrelas"
Daffi [Disco de Vinil],unknown-author,"R$217,02",-1
Hive Mind [Disco de Vinil],The Internet,"R$167,75","4,6 de 5 estrelas"
Sad Clown Bad Year [Disco de Vinil],Atmosphere,"R$313,90","3,7 de 5 estrelas"
Labcabincalifornia [Disco de Vinil],The Pharcyde,"R$232,80","5,0 de 5 estrelas"
Lil Boat 2,Lil Yachty,"R$161,81","4,4 de 5 estrelas"
"Stunts, Blunts & Hip Hop [Disco de Vinil]",Diamond D,"R$192,58","5,0 de 5 estrelas"
Loc-ed After Dark [Disco de Vinil],Tone-Loc,"R$160,45","3,5 de 5 estrelas"
KOD [Disco de Vinil],J. Cole,"R$209,07","4,6 de 5 estrelas"
Everyday Life Everyday People [Disco de Vinil],Slightly Stoopid,"R$163,19","4,2 de 5 estrelas"
Sovereign Nose Of (Y)Our Arrogant Face [Disco de Vinil],SCALLOPS HOTEL (MILO),"R$167,25","5,0 de 5 estrelas"
Trunk Muzik 0-60 [Disco de Vinil],Yelawolf,"R$202,95","4,6 de 5 estrelas"
August Greene [Disco de Vinil],"GREENE,AUGUST","R$276,16","4,6 de 5 estrelas"
Double or Nothing,Big Sean/Metro Boomin,"R$189,69","3,8 de 5 estrelas"
Soul Clap / Party Groove [Disco de Vinil],SHOWBIZ & A.G.,"R$160,02",-1
The Complete Collection 1987-1992,Eric B. & Rakim,"R$1.713,92","5,0 de 5 estrelas"
