Product Name,Author,Price,Ratings
Tell It Like It Is,Aaron Neville,"R$142,39","5,0 de 5 estrelas"
Mais opções de compra,unknown-author,Crazysexycool [Disco de Vinil],"R$254,97"
Special Night [Disco de Vinil],"FIELDS,LEE & THE EXPRESSIONS","R$175,18","4,4 de 5 estrelas"
Bound To Happen,William Bell,"R$193,77","5,0 de 5 estrelas"
Mais opções de compra,unknown-author,Complete & Unbelievable...The Otis Redding Dictionary Of Soul [Disco de Vinil],"R$319,88"
12 Inch Dance. 80S Groove - 12 Inch Dance. 80S Groove [Disco de Vinil],12 Inch Dance. 80S Groove,"R$220,00","4,5 de 5 estrelas"
Let's Pretend We're Married,Prince,"R$104,91","4,1 de 5 estrelas"
Purple Rain,Prince and the Revolution,"R$113,26","4,7 de 5 estrelas"
I've Got So Much To Give [Disco de Vinil],Barry White,"R$205,86","4,6 de 5 estrelas"
Love In The Wind [Disco de Vinil],The Sha La Das,"R$146,35","4,6 de 5 estrelas"
Kiss Land [Disco de Vinil],The Weeknd,"R$271,27","4,7 de 5 estrelas"
Journey Through The Secret Life Of Plants [Disco de Vinil],Stevie Wonder,"R$240,69","5,0 de 5 estrelas"
Aretha Franklin - The Atlantic Singles Collectio [Disco de Vinil],Aretha Franklin,"R$344,83","4,7 de 5 estrelas"
Roll (Burbank Funk) [Disco de Vinil],INTERNET,"R$207,03","5,0 de 5 estrelas"
Bodyrock Shotgun [Disco de Vinil],ZACKEY FORCE FUNK,"R$172,70",-1
I Heard It Through The Grapevine [Disco de Vinil],Marvin Gaye,"R$174,39","3,3 de 5 estrelas"
The 20th Century Records Albums (1973-1979),Barry White,"R$1.045,46","4,8 de 5 estrelas"
It Was Only A Dream [Disco de Vinil],THEE SINSEERS,"R$64,85",-1
Catch Me I'm Falling [Disco de Vinil],unknown-author,"R$90,05",-1
Mais opções de compra,unknown-author,Origin [Disco de Vinil],"R$178,12"
Yesterdays Universe [Disco de Vinil],unknown-author,"R$158,83",-1
Want Me [Disco de Vinil],ALOE BLACC,"R$56,60",-1
New Jack City [Disco de Vinil],New Jack City,"R$90,64","4,0 de 5 estrelas"
Pop Life,Prince and The Revolution,"R$104,08","5,0 de 5 estrelas"
Raspberry Beret [Disco de Vinil],Prince and the Revolution,"R$101,00","4,6 de 5 estrelas"
Gotta Have You (3 Mixes +) [Disco de Vinil],Stevie Wonder,"R$77,04",-1
In Person At The Whisky A Go Go,"Redding, Otis","R$190,17","5,0 de 5 estrelas"
Voyage To India,INDIA.ARIE,"R$191,16","4,6 de 5 estrelas"
Partyman [Disco de Vinil],Prince,"R$116,00","4,6 de 5 estrelas"
Acoustic Soul [Disco de Vinil],India.Arie,"R$201,66","4,7 de 5 estrelas"
Dictionary Of Soul,"Redding, Otis","R$192,91","4,5 de 5 estrelas"
Live At The Apollo,"BROWN,JAMES","R$193,31","4,6 de 5 estrelas"
And Now [Disco de Vinil],Booker T & The Mg'S,"R$192,75",-1
New Orleans Funk [Disco de Vinil],Various Artists,"R$245,22","4,1 de 5 estrelas"
East Side Story Volume 10 [Disco de Vinil],Various Artists,"R$203,00","4,7 de 5 estrelas"
Anonymous [Disco de Vinil],blackbear,"R$287,61","4,5 de 5 estrelas"
Mais opções de compra,unknown-author,A Cosmic Jazz Funk Adventure [Disco de Vinil],"R$186,63"
Things Have Changed [Disco de Vinil],Bettye LaVette,"R$206,01","4,7 de 5 estrelas"
Diana Ross (Love Hangover),Diana Ross,"R$102,99","4,5 de 5 estrelas"
Shaolin Soul Episode 1 (Various Artists) [Disco de Vinil],VARIOUS ARTISTS,"R$215,19","5,0 de 5 estrelas"
Complete Studio Recordings [Disco de Vinil],"CLARK,ALICE","R$211,11","4,1 de 5 estrelas"
Twistin The Night Away [Disco de Vinil],Sam Cooke,"R$232,53","4,8 de 5 estrelas"
The Essential R. Kelly [Disco de Vinil],R. Kelly,"R$227,43","4,9 de 5 estrelas"
Soul Drums [Disco de Vinil],"PURDIE,BERNARD PRETTY","R$271,29","4,8 de 5 estrelas"
The Clones Of Dr. Funkenstein [Disco de Vinil],Parliament,"R$213,15","4,6 de 5 estrelas"
Yellow Kitchen,Mark and Sean Yeaton Kozelek,"R$154,38","2,0 de 5 estrelas"
Allen Toussaint - American Tunes [Disco de Vinil],Allen Toussaint,"R$726,85","4,8 de 5 estrelas"
Love's Theme: The Best Of The 20th Century Records Singles [Disco de Vinil],Barry White,"R$263,28","4,6 de 5 estrelas"
Live at the Apollo 1972 [Disco de Vinil],James Revue Brown,"R$253,95","3,8 de 5 estrelas"
