Product Name,Author,Price,Ratings
Blues Deluxe,Joe Bonamassa,"R$239,44","4,7 de 5 estrelas"
Blue & Lonesome,The Rolling Stones,"R$271,02","4,4 de 5 estrelas"
Hogtied Revisited [Disco de Vinil],WHITE BUFFALO,"R$209,07","5,0 de 5 estrelas"
Mais opções de compra,unknown-author,Blues The Whole Blues And Nothing But [Disco de Vinil],"R$200,91"
Who Shot John [Disco de Vinil],unknown-author,"R$158,83",-1
Mais opções de compra,unknown-author,It Serves You Right To Suffer [Disco de Vinil],"R$134,63"
King Hokum [Disco de Vinil],C.W. Stoneking,"R$183,70","4,7 de 5 estrelas"
Brownie Mcghee And Sonny Terry,Brownie McGhee & Sonny Terry,"R$183,24","4,5 de 5 estrelas"
Collected [Disco de Vinil],ALLMAN BROTHERS BAND,"R$342,80","4,8 de 5 estrelas"
Mais opções de compra,unknown-author,Who Else? [Disco de Vinil],"R$194,79"
Texas Flood [Disco de Vinil],"VAUGHAN,STEVIE RAY & DOUBLE TROUBLE","R$1.389,68","4,7 de 5 estrelas"
Lil G.L.'s Blue Bonanza,Charley Crockett,"R$142,19","4,7 de 5 estrelas"
Joni Mitchell - Love Has Many Faces. A Quartet [Disco de Vinil],Joni Mitchell,"R$1.389,19","4,8 de 5 estrelas"
Simple Case Of The Blues [Disco de Vinil],"FLORES,ROSIE","R$207,51","4,8 de 5 estrelas"
Please Rewind [Disco de Vinil],MOONCHILD,"R$152,66","4,6 de 5 estrelas"
Confessin The Blues Volume 2,Confessin' the Blues,"R$259,78","5,0 de 5 estrelas"
Confessin The Blues Volume 1,Confessin' the Blues,"R$217,23","4,0 de 5 estrelas"
The Difference Between Me & You [Disco de Vinil],Black Joe Lewis & The Honeybears,"R$167,00","4,2 de 5 estrelas"
Miles To Go [Disco de Vinil],"James, Colin","R$195,79","4,6 de 5 estrelas"
Can U Cook? [Disco de Vinil],Seasick Steve,"R$179,70","4,6 de 5 estrelas"
Get Here Quick [Disco de Vinil],The Texas Horns,"R$156,49",-1
Hot Foot Powder [Disco de Vinil],Peter Green,"R$211,11","4,8 de 5 estrelas"
Mais opções de compra,unknown-author,Keb Mo [Disco de Vinil],"R$214,17"
Blues Breakers,"MAYALL,JOHN","R$197,85","4,6 de 5 estrelas"
Ass Pocket of Whiskey [Disco de Vinil],R.L. Burnside,"R$166,23","4,2 de 5 estrelas"
Ladies Of The Canyon,Joni Mitchell,"R$178,00","4,8 de 5 estrelas"
Oklahoma [Disco de Vinil],Keb' Mo',"R$162,17","4,7 de 5 estrelas"
Best Of [Disco de Vinil],"WATERS,MUDDY","R$166,23","4,6 de 5 estrelas"
I Can't Stand the Rain [Disco de Vinil],Ann Peebles,"R$166,23","4,4 de 5 estrelas"
Mais opções de compra,unknown-author,Kingfish [Disco de Vinil],"R$178,47"
Keb' Mo' Live That Hot Pink Blues Album [Disco de Vinil],Keb' Mo',"R$183,37","4,8 de 5 estrelas"
Walking To New Orleans,George Benson,"R$188,09","4,3 de 5 estrelas"
Live in Cook County Jail [Disco de Vinil],B.B. King,"R$186,63","4,7 de 5 estrelas"
Blues (Limited 180 Gram Audiophile Pressing) [Disco de Vinil],"KING,B.B.","R$155,01","5,0 de 5 estrelas"
