Product Name,Author,Price,Ratings
Ultimate Sinatra [Disco de Vinil],Frank Sinatra,"R$233,01","4,8 de 5 estrelas"
Dangerous Woman [Disco de Vinil],Ariana Grande,"R$263,94","4,7 de 5 estrelas"
In The Wee Small Hours,"SINATRA,FRANK","R$185,65","4,7 de 5 estrelas"
Purpose [Disco de Vinil],Justin Bieber,"R$236,01","4,6 de 5 estrelas"
E·MO·TION,Carly Rae Jepsen,"R$201,00","4,7 de 5 estrelas"
Francis Albert Sinatra & Antonio Carlos Jobim,Frank Sinatra,"R$205,00","4,7 de 5 estrelas"
Cheek To Cheek,"BENNETT,TONY / LADY GAGA","R$226,00","4,6 de 5 estrelas"
Dedicated [Disco de Vinil],Carly Rae Jepsen,"R$204,99","4,4 de 5 estrelas"
Duets [Disco de Vinil],"SINATRA,FRANK","R$242,11","4,5 de 5 estrelas"
Jolly Christmas from Frank Sinatra [Disco de Vinil],"SINATRA,FRANK","R$101,00","4,8 de 5 estrelas"
Joanne [Disco de Vinil],Lady Gaga,"R$264,14","4,6 de 5 estrelas"
DNCE [Disco de Vinil],DNCE,"R$162,04","4,7 de 5 estrelas"
Camila,Camila Cabello,"R$171,00","4,6 de 5 estrelas"
Mad Love,JoJo,"R$175,58","4,8 de 5 estrelas"
Reputation [Disco de Vinil],Taylor Swift,"R$360,33","4,6 de 5 estrelas"
I Wish You Love: More From The Bodyguard,Whitney Houston,"R$222,66","4,4 de 5 estrelas"
A Swingin' Affair! [Disco de Vinil],Frank Sinatra,"R$210,00","4,8 de 5 estrelas"
The Jazz Singer (Original Songs From Motion Picture) [Disco de Vinil],Neil Diamond,"R$192,58","4,7 de 5 estrelas"
Alone (180G),"GARLAND,JUDY","R$149,00","5,0 de 5 estrelas"
Max Richter - Out Of The Dark Room [Disco de Vinil],Max Richter,"R$495,90","4,6 de 5 estrelas"
"Mary, Queen of Scots (Original Motion Picture Soundtrack) [Disco de Vinil]",Max Richter/Soundtrack,"R$280,82","4,8 de 5 estrelas"
Les Sources [Disco de Vinil],Vanessa Paradis,"R$242,11","4,5 de 5 estrelas"
My World 2.0 [Disco de Vinil],Justin Bieber,"R$159,92","4,5 de 5 estrelas"
Believe,Justin Bieber,"R$158,90","4,5 de 5 estrelas"
Songs from Before [Disco de Vinil],Max Richter,"R$194,17","4,6 de 5 estrelas"
"Ryuichi Sakamoto, Alva Noto - The Revenant [Disco de Vinil]","Ryuichi Sakamoto, Alva Noto &","R$366,00","4,6 de 5 estrelas"
33 Greatest Hits,"MATHIS,JOHNNY","R$194,00","4,2 de 5 estrelas"
Sinatra '65 [Disco de Vinil],Frank Sinatra,"R$210,00","4,7 de 5 estrelas"
September of My Years [Disco de Vinil],Frank Sinatra,"R$192,78","4,6 de 5 estrelas"
A Man and His Music [Disco de Vinil],Frank Sinatra,"R$274,00","4,7 de 5 estrelas"
From Sleep,Max Richter,"R$238,35","4,4 de 5 estrelas"
The Leftovers (Music From the HBO Series--Season One) [Disco de Vinil],Max Richter,"R$196,00","4,4 de 5 estrelas"
Unbreakable Smile [Disco de Vinil],Tori Kelly,"R$144,24","4,6 de 5 estrelas"
Come Swing With Me!,Frank Sinatra,"R$191,16","5,0 de 5 estrelas"
Come Dance With Me!,Frank Sinatra,"R$212,00","4,6 de 5 estrelas"
"The Popular Frank Sinatra, Vol. 1-3 [Disco de Vinil]",Frank Sinatra,"R$720,63",-1
Sinatra In Love (Best Of) (180G) [Disco de Vinil],"SINATRA,FRANK","R$190,71","5,0 de 5 estrelas"
Sinatra Sings Great Songs from Great Britian [Disco de Vinil],Frank Sinatra,"R$192,58","4,6 de 5 estrelas"
Strangers in the Night [Disco de Vinil],Frank Sinatra,"R$213,15","4,7 de 5 estrelas"
And Winter Came [Disco de Vinil],Enya,"R$220,29","4,7 de 5 estrelas"
Handwritten [Disco de Vinil],Shawn Mendes,"R$193,00","4,6 de 5 estrelas"
Sinatra at the Sands [Disco de Vinil],Frank Sinatra,"R$263,31","4,7 de 5 estrelas"
That's Life [Disco de Vinil],Frank Sinatra,"R$211,00","4,4 de 5 estrelas"
Direction Albums [Disco de Vinil],unknown-author,"R$779,54",-1
Taller [Disco de Vinil],Jamie Cullum,"R$194,79","4,2 de 5 estrelas"
Where Polly People Go To Read [Disco de Vinil],GUS DAPPERTON,"R$144,32","4,1 de 5 estrelas"
Late Night Feelings [Disco de Vinil],Mark Ronson,"R$187,10","4,6 de 5 estrelas"
Who Are You Know [Disco de Vinil],Madison Cunningham,"R$167,52","4,6 de 5 estrelas"
Never Look Away,Max Ricther,"R$227,43",-1
Forever Overhead [Disco de Vinil],Tim Baker,"R$185,65","5,0 de 5 estrelas"
Ryuichi Sakamoto - Bttb (Back To The Basics) [Disco de Vinil],Ryuichi Sakamoto,"R$299,00","5,0 de 5 estrelas"
BTTB,Ryuichi Sakamoto,"R$272,99","4,8 de 5 estrelas"
Future Pop [Disco de Vinil],Perfume,"R$347,79","4,7 de 5 estrelas"
Fume: C'est Du Best [LP],"DUTRONC,JACQUES","R$217,88","4,2 de 5 estrelas"
