Product Name,Author,Price,Ratings
Christ Illusion [Disco de Vinil],SLAYER,"R$192,75","4,6 de 5 estrelas"
Hellbilly Deluxe [Disco de Vinil],Rob Zombie,"R$169,29","4,6 de 5 estrelas"
High Voltage [Disco de Vinil],AC/DC,"R$250,77","4,7 de 5 estrelas"
The Pale Emperor,MARILYN MANSON,"R$170,33","4,6 de 5 estrelas"
Chaos A.D. (Expanded Edition)(2LP) [Disco de Vinil],Sepultura,"R$259,40","4,7 de 5 estrelas"
Hysteria [Disco de Vinil],Def Leppard,"R$195,00","4,8 de 5 estrelas"
Let There Be Rock [Disco de Vinil],AC/DC,"R$183,26","4,9 de 5 estrelas"
In Through The Out Door [Disco de Vinil],Led Zeppelin,"R$319,93","4,7 de 5 estrelas"
Too Fast for Love [Disco de Vinil],Mötley Crüe,"R$152,86","4,8 de 5 estrelas"
Megadeth - The System Has Failed [Disco de Vinil],Megadeth,"R$264,01","4,1 de 5 estrelas"
New York Dolls [Disco de Vinil],New York Dolls,"R$137,38","4,7 de 5 estrelas"
Heavy Psych [Disco de Vinil],Nebula,"R$129,11","4,1 de 5 estrelas"
Them Crooked Vultures [Disco de Vinil],Them Crooked Vultures,"R$192,22","4,5 de 5 estrelas"
13,BLACK SABBATH,"R$203,97","4,6 de 5 estrelas"
Heart Of Everything [Disco de Vinil],WITHIN TEMPTATION,"R$255,99","4,9 de 5 estrelas"
Hemispheres [Disco de Vinil],Rush,"R$251,86","4,7 de 5 estrelas"
Mais opções de compra,unknown-author,Life Metal [Disco de Vinil],"R$226,41"
Walk The Sky (Black Vinyl 2LP Gatefold) [Disco de Vinil],ALTER BRIDGE,"R$220,62","4,6 de 5 estrelas"
Mais opções de compra,unknown-author,Tales From The Beast [Disco de Vinil],"R$210,09"
Long Live The King (20th Anniversary Edition) [Disco de Vinil],unknown-author,"R$162,20",-1
Mais opções de compra,unknown-author,High Crimes [Disco de Vinil],"R$195,49"
Mais opções de compra,unknown-author,Eclipse [Disco de Vinil],"R$208,05"
Crawl Among The Filth [Disco de Vinil],All Out War,"R$153,00","5,0 de 5 estrelas"
Eagle Has Landed 40 (live) [Disco de Vinil],Saxon,"R$1.297,81","4,8 de 5 estrelas"
Fragile Art Of Existence [Disco de Vinil],Control Denied,"R$278,00","4,7 de 5 estrelas"
Liebe Ist Fur Alle Da [Disco de Vinil],Rammstein,"R$251,00","4,7 de 5 estrelas"
Angel Du$T - Pretty Buff [Disco de Vinil],Angel Du$t,"R$147,00","4,3 de 5 estrelas"
Blackwater Park,Opeth,"R$343,13","4,7 de 5 estrelas"
Heaven That Dwells Within,Wormwitch,"R$203,84","4,9 de 5 estrelas"
Mais opções de compra,unknown-author,Gastir Ghosts Invited [Disco de Vinil],"R$197,85"
Warheads On Foreheads,Megadeth,"R$637,91","4,7 de 5 estrelas"
Live In The Raw [Disco de Vinil],WASP,"R$242,44","4,8 de 5 estrelas"
Undying Light,Fallujah,"R$181,12","4,7 de 5 estrelas"
Renegade [Disco de Vinil],Hammerfall,"R$212,00","4,4 de 5 estrelas"
Caress Of Steel,Rush,"R$289,34","4,6 de 5 estrelas"
Majesty And Decay [Disco de Vinil],Immolation,"R$224,37","4,8 de 5 estrelas"
Mais opções de compra,unknown-author,Shovel Headed Tour Machine [Disco de Vinil],"R$254,97"
Gods Of Metal 1 [Disco de Vinil],"Gods Of Metal, Volume 1","R$136,48",-1
The Essential Masters [Disco de Vinil],"MONROE,MARILYN","R$210,09","4,5 de 5 estrelas"
And Justice For None [Disco de Vinil],FIVE FINGER DEATH PUNCH,"R$229,47","4,7 de 5 estrelas"
Flames Of Eternity [Disco de Vinil],Imperia,"R$193,77","4,4 de 5 estrelas"
Dark Passion Play,Nightwish,"R$340,12","4,6 de 5 estrelas"
Iron Maiden - Seventh Son Of A Seventh Son [Disco de Vinil],Iron Maiden,"R$188,00","4,8 de 5 estrelas"
Exhibit B: The Human Condition [Disco de Vinil],Exodus,"R$268,23","4,5 de 5 estrelas"
Snow Capped Romance [Disco de Vinil],36 CRAZYFISTS,"R$152,97","4,7 de 5 estrelas"
Master Of Puppets [Disco de Vinil],Metallica,"R$204,83","4,6 de 5 estrelas"
Mystical Thieves [Disco de Vinil],unknown-author,"R$225,00",-1
Conference of the Birds [Disco de Vinil],OM,"R$137,89","4,3 de 5 estrelas"
Paranoid [Disco de Vinil],BLACK SABBATH,"R$221,00","4,6 de 5 estrelas"
Dystopia,Megadeth,"R$162,83","4,6 de 5 estrelas"
Iron Maiden [Disco de Vinil],IRON MAIDEN,"R$212,13","4,8 de 5 estrelas"
Satan Spits On Children Of Light [Disco de Vinil],Devil Master,"R$148,70","4,5 de 5 estrelas"
2112,Rush,"R$244,76","4,6 de 5 estrelas"
Massacred [Disco de Vinil],Kam Lee,"R$132,28",-1
Mais opções de compra,unknown-author,Beginning Of Times [Disco de Vinil],"R$237,63"
Legacy Of Kings [Disco de Vinil],Hammerfall,"R$225,39","4,6 de 5 estrelas"
British Steel,Judas Priest,"R$165,00","4,7 de 5 estrelas"
Rest Inside The Flames [Disco de Vinil],36 CRAZYFISTS,"R$214,17","5,0 de 5 estrelas"
Live: Decade of Aggression [Disco de Vinil],SLAYER,"R$261,09","4,7 de 5 estrelas"
Stiff Upper Lip [Disco de Vinil],AC/DC,"R$177,33","4,6 de 5 estrelas"
Memories Of A Beast [Disco de Vinil],Malevolent Creation,"R$154,94","2,5 de 5 estrelas"
Order of the Black [Disco de Vinil],Black Label Society,"R$166,00","4,6 de 5 estrelas"
Veleno,Fleshgod Apocalypse,"R$242,73","4,5 de 5 estrelas"
Era Vulgaris [Disco de Vinil],Queens Of The Stone Age,"R$248,82","4,5 de 5 estrelas"
Let's Boogie! (Live From Telia Parken) [Disco de Vinil],Volbeat,"R$361,19","4,7 de 5 estrelas"
Best Of Fear [Disco de Vinil],PRIMAL FEAR,"R$297,19","4,7 de 5 estrelas"
Mais opções de compra,unknown-author,Koloss [Disco de Vinil],"R$247,83"
Turbo 30 [Disco de Vinil],Judas Priest,"R$152,56","4,7 de 5 estrelas"
Isolate & Medicate [Disco de Vinil],Seether,"R$161,64","4,7 de 5 estrelas"
Citadel,Ne Obliviscaris,"R$192,28","4,7 de 5 estrelas"
