Product Name,Author,Price,Ratings
Memories By The Score [Disco de Vinil],John Holt,"R$233,03","3,8 de 5 estrelas"
Mais opções de compra,unknown-author,Despite The Show [Disco de Vinil],"R$179,49"
We Remember Dennis Brown,We Remember Dennis Brown,"R$211,57","4,7 de 5 estrelas"
Mais opções de compra,unknown-author,Images on Guitar [Disco de Vinil],"R$272,31"
Santana Iv [Disco de Vinil],Santana,"R$244,16","4,4 de 5 estrelas"
My Love & Music [Disco de Vinil],Ebo Taylor,"R$208,66",-1
Amor Supremo [Disco de Vinil],Carla Morrison,"R$254,20","4,7 de 5 estrelas"
Ote Maloya / Various [Disco de Vinil],unknown-author,"R$241,52",-1
3.0,Marc Anthony,"R$171,75","4,7 de 5 estrelas"
Formula Vol. 2 (Pa/2Lp/Deluxe Edition),Romeo Santos,"R$204,50","4,7 de 5 estrelas"
Multiviral [Disco de Vinil],Calle 13,"R$214,87","4,7 de 5 estrelas"
Senderos de Traicion 25 Aniversario [Disco de Vinil],HEROES DEL SILENCIO,"R$227,43","4,8 de 5 estrelas"
Hombres G Reedicion 30 Aniversario [Disco de Vinil],HOMBRES G,"R$235,59","4,7 de 5 estrelas"
Bush Doctor,"TOSH,PETER","R$204,99","4,8 de 5 estrelas"
Soon Forward [Disco de Vinil],Gregory Isaacs,"R$168,05","4,7 de 5 estrelas"
Tche Belew,"MERGIA,HAILU & THE WALLAS","R$162,96","4,7 de 5 estrelas"
LP Boxset 2 [Disco de Vinil],"ONYEABOR,WILLIAM","R$578,18","5,0 de 5 estrelas"
Teacher Don't Teach Me Nonsens,Fela Kuti,"R$159,99","4,5 de 5 estrelas"
Celia & Johnny,"CRUZ,CELIA & JOHNNY","R$172,97","4,4 de 5 estrelas"
Live At Yankee Stadium: Vol 1 [Disco de Vinil],FANIA ALL STARS,"R$173,63","4,4 de 5 estrelas"
Live At Yankee Stadium: Vol 2 [Disco de Vinil],Fania All Stars,"R$172,67","5,0 de 5 estrelas"
Monkey Man [Disco de Vinil],MAYTALS,"R$278,57","5,0 de 5 estrelas"
Boleros Valses Y Mas,"REYES,FRANKIE","R$139,88","5,0 de 5 estrelas"
Little Darlin [Disco de Vinil],Sheila,"R$313,90","4,8 de 5 estrelas"
Sheila - King Of The World [Disco de Vinil],Sheila,"R$184,72","4,8 de 5 estrelas"
Wake Up You 1: Rise & Fall Of Nigerian Rock / Var [Disco de Vinil],VARIOUS ARTISTS,"R$219,46","5,0 de 5 estrelas"
Cumbia Amazonica [Disco de Vinil],LOS MIRLOS,"R$315,13",-1
Lindenberg (Remastered) [Disco de Vinil],UDO LINDENBERG,"R$462,53","4,8 de 5 estrelas"
Akofa Akoussah,AKOFA AKOUSSAH,"R$288,77",-1
Krishnanda [Disco de Vinil],"SANTOS,PEDRO","R$213,00","4,5 de 5 estrelas"
Mi Sueno [Disco de Vinil],Ibrahim Ferrer,"R$212,13","4,9 de 5 estrelas"
Legend Of Funana: Forbidden Music Of The Capes [Disco de Vinil],VARIOUS ARTISTS,"R$177,00","4,6 de 5 estrelas"
Tanbou Toujou Lou: Haiti 1960-1981 [Disco de Vinil],unknown-author,"R$237,79",-1
Hide Your Way [Disco de Vinil],Me & My Friends,"R$201,93",-1
