Product Name,Author,Price,Ratings
Boundless [Disco de Vinil],Pin Ups,"R$98,83","5,0 de 5 estrelas"
"Os Brazões, LP Os Brazões- Série Clássicos Em Vinil [Disco de Vinil]",Os Brazões,"R$110,00",-1
Dom Salvador [Disco de Vinil],Dom Salvador,"R$151,39","5,0 de 5 estrelas"
Geracao Som [Disco de Vinil],Pepeu Gomes,"R$240,28",-1
Cesar Camargo Mariano [Disco de Vinil],Cesar Camargo Mariano,"R$170,89","5,0 de 5 estrelas"
Alaíde Costa [Disco de Vinil],Alaíde Costa,"R$164,15",-1
Wrapped in Red,Kelly Clarkson,"R$177,09","4,6 de 5 estrelas"
"Cachorro Grande, Lp Cinema [Disco de Vinil]",Cachorro Grande,"R$95,00",-1
LP Cursed Slaughter - One Last Fixxx [Disco de Vinil],Cursed Slaughter,"R$45,00",-1
LP Nervo Chaos/Amazarak - Ascemsão Do Caos [Disco de Vinil],Nervo Chaos,"R$67,00",-1
Correntes [Disco de Vinil],Metalmorphose,"R$37,00",-1
Sotaque Soul [Disco de Vinil],Maga Lieri,"R$52,00","5,0 de 5 estrelas"
Kadjwynh Ep [Disco de Vinil],Labirinto,"R$75,00",-1
Do Oiapoque A Nova York [Disco de Vinil],Flavio Renegado,"R$95,98","5,0 de 5 estrelas"
"O Rappa, LP Duplo Acústico Mtv- Série Clássicos Em Vinil [Disco de Vinil]",O Rappa,"R$190,00","1,0 de 5 estrelas"
Aventuras II [Disco de Vinil],Blitz,"R$95,00",-1
"Skank, LP Calango- Série Clássicos Em Vinil [Disco de Vinil]",Skank,"R$110,00","4,2 de 5 estrelas"
"Tribalistas, Lp Tribalistas 1 (2002) - Série Clássicos em Vinil",Tribalistas,"R$100,30","4,0 de 5 estrelas"
"Planet Hemp, Usuário - Série Clássicos em Vinil [Disco de Vinil]",Planet Hemp,"R$110,00",-1
Se o Acaso É Chorar- Série Clássicos em Vinil [Disco de Vinil],Tom Zé,"R$120,00","5,0 de 5 estrelas"
"Lula Côrtes, LP Rosa De Sangue- Série Clássicos Em Vinil [Disco de Vinil]",Lula Côrtes,"R$110,00","5,0 de 5 estrelas"
Cuban Soul 18 Kilates - Série Clássicos Em Vinil [Disco de Vinil],Cassiano,"R$110,00","5,0 de 5 estrelas"
"Mutantes, LP A  E O Z - Série Clássicos Em Vinil [Disco de Vinil]",Mutantes,"R$107,90","5,0 de 5 estrelas"
"Ronnie Von, LP A Misteriosa Luta Do Reino De Parasempre Contra O Império Do Nuncamais- Série Clássicos Em Vinil [Disco de Vinil]",Ronnie Von,"R$110,00","4,6 de 5 estrelas"
"Milton Nascimento, LP Duplo Clube Da Esquina 2- Série Clássicos Em Vinil [Disco de Vinil]",Milton Nascimento,"R$200,00","5,0 de 5 estrelas"
Let's Talk About Love [Disco de Vinil],"DION,CELINE","R$271,00","4,6 de 5 estrelas"
"Moraes Moreira, LP Moraes Moreira - 1975- Série Clássicos Em Vinil [Disco de Vinil]",Moraes Moreira,"R$110,00","4,6 de 5 estrelas"
"Luan Santana, LP Luan Santana Acústico [Disco de Vinil]",Luan Santana,"R$95,00",-1
Dear Evan Hansen (Original Broadway Cast Recording) [Disco de Vinil],Dear Evan Hansen (Original Broadway Cast),"R$201,56","4,7 de 5 estrelas"
"Pedro Santos, LP Krishnanda- Série Clássicos Em Vinil [Disco de Vinil]",Pedro Santos,"R$110,00","4,5 de 5 estrelas"
"Scalene, LP Magnetite [Disco de Vinil]",Scalene,"R$84,94","5,0 de 5 estrelas"
"Hyldon, LP Na Rua Na Chuva Na Fazenda - Série Clássicos Em Vinil [Disco de Vinil]",Hyldon,"R$110,00","5,0 de 5 estrelas"
Alucinação - Série Clássicos em Vinil [Disco de Vinil],Belchior,"R$110,00","4,8 de 5 estrelas"
"Jorge Ben, A Tábua De Esmeralda - Série Clássicos Em Vinil [Disco de Vinil]",Jorge Ben,"R$100,30","4,9 de 5 estrelas"
"Novos Baianos, Acabou Chorare- Série Clássicos em Vinil [Disco de Vinil]",Novos Baianos,"R$120,00","4,0 de 5 estrelas"
"Baianasystem, Lp Duas Cidades [Disco de Vinil]",BaianaSystem,"R$100,00","5,0 de 5 estrelas"
Estudando o Samba - Série Clássicos em Vinil [Disco de Vinil],Tom Zé,"R$109,56","5,0 de 5 estrelas"
"Tim Maia, Tim Maia - 1970 - Série Clássicos Em Vinil [Disco de Vinil]",Tim Maia,"R$100,00","4,6 de 5 estrelas"
"Secos  Molhados, LP Secos  Molhados - Série Clássicos Em Vinil [Disco de Vinil]",Secos & Molhados,"R$110,00","5,0 de 5 estrelas"
Belchior - Série Clássicos em Vinil [Disco de Vinil],Belchior,"R$110,00","5,0 de 5 estrelas"
Todos os Olhos - Série Clássicos em Vinil [Disco de Vinil],Tom Zé,"R$110,00","5,0 de 5 estrelas"
"Maglore, LP Todas As Bandeiras [Disco de Vinil]",Maglore,"R$95,00","5,0 de 5 estrelas"
"Moacir Santos, LP Coisas- Série Clássicos Em Vinil [Disco de Vinil]",Moacir Santos,"R$120,00","5,0 de 5 estrelas"
"Secos  Molhados, LP Secos  Molhados Ii- Série Clássicos Em Vinil [Disco de Vinil]",Secos & Molhados,"R$99,90","4,8 de 5 estrelas"
"O Rappa, LP Duplo O Silêncio Que Precede O Esporro- Série Clássicos Em Vinil [Disco de Vinil]",O Rappa,"R$175,00",-1
"Jorge Ben, LP África Brasil - Série Clássicos Em Vinil [Disco de Vinil]",Jorge Ben,"R$110,00","5,0 de 5 estrelas"
"Vimana, Compacto Zebra e Masquerade [Disco de Vinil]",Vimana,"R$40,00","5,0 de 5 estrelas"
"Luedji Luna, LP Um Corpo No Mundo [Disco de Vinil]",Luedji Luna,"R$95,00","5,0 de 5 estrelas"
"Maglore, III [Disco de Vinil]",Maglore,"R$95,00","5,0 de 5 estrelas"
"Marcos Valle, LP Vento Sul- Série Clássicos Em Vinil [Disco de Vinil]",Marcos Valle,"R$110,00","4,2 de 5 estrelas"
Nas Esquinas Do Coração [Disco de Vinil],Ortinho,"R$94,90",-1
"Ronnie Von, LP A Máquina Voadora- Série Clássicos Em Vinil [Disco de Vinil]",Ronnie Von,"R$110,00","5,0 de 5 estrelas"
Jason Mraz - Know. [Disco de Vinil],Jason Mraz,"R$462,47","4,5 de 5 estrelas"
"Os Paralamas Do Sucesso, LP Sinais Do Sim [Disco de Vinil]",Os Paralamas do Sucesso,"R$95,00",-1
"O Rappa, LP Duplo 7 Vezes- Série Clássicos Em Vinil [Disco de Vinil]",O Rappa,"R$178,00",-1
Ceu [Disco de Vinil],Céu,"R$104,00","4,3 de 5 estrelas"
"João Donato, Quem É Quem - Série Clássicos Em Vinil [Disco de Vinil]",João Donato,"R$110,00",-1
Bom Retiro [Disco de Vinil],Mauro Motoki,"R$75,00",-1
"Emanuelle Araújo, LP O Problema É A Velocidade [Disco de Vinil]",Emanuelle Araújo,"R$74,79",-1
Grande Liquidação- Série Clássicos em Vinil [Disco de Vinil],Tom Zé,"R$110,00","4,2 de 5 estrelas"
10 Anos [Disco de Vinil],Pagode da 27,"R$48,40",-1
"Dead Fish, LP Ponto Cego [Disco de Vinil]",Dead Fish,"R$95,00","4,8 de 5 estrelas"
"O Rappa, Duplo O Rappa- Série Clássicos Em Vinil [Disco de Vinil]",O Rappa,"R$200,00","5,0 de 5 estrelas"
"Humberto Gessinger, Compacto Louco Pra Ficar Legal [Disco de Vinil]",Humberto Gessinger,"R$40,00",-1
Amor Geral [Disco de Vinil],Amor Geral (Lp),"R$158,77",-1
Trio Mocoto [Disco de Vinil],Trio Mocotó,"R$184,80","3,0 de 5 estrelas"
