Product Name,Author,Price,Ratings
Tente Enxergar [Disco de Vinil],Ultramen,"R$115,20","5,0 de 5 estrelas"
"Ira!, LP Psicoacustica- Série Clássicos Em Vinil [Disco de Vinil]",Ira!,"R$120,00",-1
"Som Imaginário, LP ""Matança do Porco""- Série Clássicos em Vinil",Som Imaginário,"R$114,00","5,0 de 5 estrelas"
"Mutantes, LP Mande Um Abraço Pra Velha - Série Clássicos Em Vinil [Disco de Vinil]",Mutantes,"R$112,96",-1
Hitler's Dog Stalin Rats [Disco de Vinil],Mukeka di Rato,"R$62,34",-1
Correio da Estação do Brás- Série Clássicos em Vinil [Disco de Vinil],Tom Zé,"R$117,00",-1
Para Incomodar Vol.1 [Disco de Vinil],V/A,"R$156,00","5,0 de 5 estrelas"
Eslavosamba [Disco de Vinil],Cacá Machado,"R$80,00",-1
Jackson Do Pandeiro [Disco de Vinil],Jackson do Pandeiro,"R$170,89",-1
"Chakal, LP ""Abominable Anno Domini"" - Série Clássicos em Vinil [Disco de Vinil]",Chakal,"R$110,00",-1
Dead Fish & Zander Split [Disco de Vinil],Dead Fish & Zander,"R$71,98","5,0 de 5 estrelas"
Merda & Os Estudantes Split [Disco de Vinil],Merda & Os Estudantes,"R$68,13",-1
O Circo Da Fé [Disco de Vinil],Zumbis do Espaço,"R$71,72",-1
"Nx Zero, LP Norte [Disco de Vinil]",Nx Zero,"R$95,00",-1
"Psychic Possessor, LP ""Tozin Diffusion"" - Série Clássicos em Vinil [Disco de Vinil]",Psychic Possessor,"R$110,00",-1
Elza Soares - Elza Pede Passagem - LP [Disco de Vinil],Elza Soares,"R$144,00",-1
"Silva, LP Claridão [Disco de Vinil]",Silva,"R$95,00","5,0 de 5 estrelas"
"Cachorro Grande, Lp Cinema [Disco de Vinil]",Cachorro Grande,"R$95,00",-1
"Armada ""Bandeira Negra"" [Disco de Vinil]",Armada,"R$142,55","5,0 de 5 estrelas"
Autoramas & Mundo Alto Split [Disco de Vinil],Autoramas & Mundo,"R$71,98",-1
LP Cursed Slaughter - One Last Fixxx [Disco de Vinil],Cursed Slaughter,"R$45,00",-1
LP Nervo Chaos/Amazarak - Ascemsão Do Caos [Disco de Vinil],Nervo Chaos,"R$67,00",-1
Correntes [Disco de Vinil],Metalmorphose,"R$37,00",-1
Sotaque Soul [Disco de Vinil],Maga Lieri,"R$52,00","5,0 de 5 estrelas"
Kadjwynh Ep [Disco de Vinil],Labirinto,"R$75,00",-1
Do Oiapoque A Nova York [Disco de Vinil],Flavio Renegado,"R$95,98","5,0 de 5 estrelas"
"O Rappa, LP Duplo Acústico Mtv- Série Clássicos Em Vinil [Disco de Vinil]",O Rappa,"R$190,00","1,0 de 5 estrelas"
"Vespas Mandarinas, Compacto A Man Without Qualities [Disco de Vinil]",Vespas Mandarinas,"R$40,00",-1
O Preço do Mefisto [Disco de Vinil],Anzol,"R$71,72",-1
"Lulu Santos, LP Luiz Maurício [Disco de Vinil]",Lulu Santos,"R$115,20","5,0 de 5 estrelas"
Inner Ear Session [Disco de Vinil],O Inimigo,"R$131,99",-1
Contrariedade [Disco de Vinil],O Inimigo,"R$131,99",-1
Hellway To High [Disco de Vinil],Water Rats,"R$141,30",-1
Aventuras II [Disco de Vinil],Blitz,"R$95,00",-1
"Scalene, LP Eter [Disco de Vinil]",Scalene,"R$95,00",-1
Lúcifer [Disco de Vinil],Os Pedrero,"R$71,72",-1
Sempre Melhor [Disco de Vinil],Horace Green,"R$71,72",-1
Do Começo Não Dá Pra Enxergar o Fim [Disco de Vinil],Dinamite Club,"R$71,72",-1
Karaokê Kaos [Disco de Vinil],Blind Pigs,"R$71,72",-1
"Vespas Mandarinas, Lp Animal Nacional [Disco de Vinil]",Vespas Mandarinas,"R$95,00","5,0 de 5 estrelas"
Uncritical Receiver [Disco de Vinil],Institution,"R$71,72",-1
Peyote [Disco de Vinil],Hellbenders,"R$142,55",-1
Destructour: O Chamado da Estrada [Disco de Vinil],Zumbis do Espaço,"R$131,99",-1
Tudo Funcionando Direito [Disco de Vinil],Bidê ou Balde,"R$71,72",-1
LP Os Brutus - Samoa [Disco de Vinil],Os Brutus,"R$37,00",-1
LP Farscape - Primitive Blitzkrieg [Disco de Vinil],Run the Jewels,"R$119,98",-1
LP Bandanos - Nobody Brings My Coffin Until I Die [Disco de Vinil],Bandanos,"R$82,00",-1
LP Nervo Chaos - To The Death [Disco de Vinil],Torture Squad,"R$134,66","1,0 de 5 estrelas"
"Lula Côrtes, LP Rosa De Sangue- Série Clássicos Em Vinil [Disco de Vinil]",Lula Côrtes,"R$110,00","5,0 de 5 estrelas"
Cuban Soul 18 Kilates - Série Clássicos Em Vinil [Disco de Vinil],Cassiano,"R$110,00","5,0 de 5 estrelas"
"Elza Soares E Pitty, Compacto Na Pele [Disco de Vinil]",Elza Soares e Pitty,"R$40,00","5,0 de 5 estrelas"
"Ronnie Von, LP A Misteriosa Luta Do Reino De Parasempre Contra O Império Do Nuncamais- Série Clássicos Em Vinil [Disco de Vinil]",Ronnie Von,"R$110,00","4,6 de 5 estrelas"
"Milton Nascimento, LP Duplo Clube Da Esquina 2- Série Clássicos Em Vinil [Disco de Vinil]",Milton Nascimento,"R$200,00","5,0 de 5 estrelas"
"Moraes Moreira, LP Moraes Moreira - 1975- Série Clássicos Em Vinil [Disco de Vinil]",Moraes Moreira,"R$110,00","4,6 de 5 estrelas"
"Luan Santana, LP Luan Santana Acústico [Disco de Vinil]",Luan Santana,"R$95,00",-1
"Natiruts - Natiruts - LP Duplo, Universal Music",Natiruts,"R$199,65",-1
"Matanza, LP Pior Cenário Possível [Disco de Vinil]",Matanza,"R$95,00","5,0 de 5 estrelas"
Continuidade dos Parques [Disco de Vinil],Banda Dônida,"R$95,00",-1
"Ratos de Porão, LP ""Cada Dia Mais Sujo e Agressivo""- Série Clássicos em Vinil [Disco de Vinil]",Ratos de Porão,"R$110,00","5,0 de 5 estrelas"
"Ira!, LP Mudança De Comportamento- Série Clássicos Em Vinil [Disco de Vinil]",Ira!,"R$110,00","4,5 de 5 estrelas"
"Scalene, LP Magnetite [Disco de Vinil]",Scalene,"R$84,94","5,0 de 5 estrelas"
"Odair José, LP ""O Filho de José e Maria""- Série Clássicos em Vinil",Odair José,"R$115,00",-1
"Erasmo Carlos, LP ""Amor é Isso"" [Disco de Vinil]",Erasmo Carlos,"R$95,00",-1
Linha de Frente [Disco de Vinil],Blind Pigs,"R$141,30",-1
"Maglore, III [Disco de Vinil]",Maglore,"R$95,00","5,0 de 5 estrelas"
"Marcos Valle, LP Vento Sul- Série Clássicos Em Vinil [Disco de Vinil]",Marcos Valle,"R$110,00","4,2 de 5 estrelas"
Rei Ninguém [Disco de Vinil],Arthur Nogueira,"R$75,00","5,0 de 5 estrelas"
Nas Esquinas Do Coração [Disco de Vinil],Ortinho,"R$94,90",-1
"Fernanda Takai, LP Onde Brilhem Os Olhos Seus [Disco de Vinil]",Fernanda Takai,"R$104,00","5,0 de 5 estrelas"
Action Lekking [Disco de Vinil],Negro Leo,"R$80,00",-1
Zulusa [Disco de Vinil],Patricia Bastos,"R$80,00","5,0 de 5 estrelas"
"Ronnie Von, LP A Máquina Voadora- Série Clássicos Em Vinil [Disco de Vinil]",Ronnie Von,"R$110,00","5,0 de 5 estrelas"
"Os Paralamas Do Sucesso, LP Sinais Do Sim [Disco de Vinil]",Os Paralamas do Sucesso,"R$95,00",-1
"Los Hermanos, LP Los Hermanos- Série Clássicos Em Vinil [Disco de Vinil]",Los Hermanos,"R$110,00","4,6 de 5 estrelas"
"O Rappa, LP Duplo 7 Vezes- Série Clássicos Em Vinil [Disco de Vinil]",O Rappa,"R$178,00",-1
Canções Eróticas De Ninar [Disco de Vinil],Tom Zé,"R$80,00","5,0 de 5 estrelas"
"João Gilberto, LP Amoroso - Série Clássicos Em Vinil [Disco de Vinil]",João Gilberto,"R$108,34","4,8 de 5 estrelas"
"Elza Soares, LP Deus É Mulher [Disco de Vinil]",Elza Soares,"R$95,00","5,0 de 5 estrelas"
Ceu [Disco de Vinil],Céu,"R$104,00","4,3 de 5 estrelas"
"Raimundos, LP Lavô Tá Novo - Série Clássicos Em Vinil [Disco de Vinil]",Raimundos,"R$110,00","5,0 de 5 estrelas"
Bom Retiro [Disco de Vinil],Mauro Motoki,"R$75,00",-1
Grande Liquidação- Série Clássicos em Vinil [Disco de Vinil],Tom Zé,"R$110,00","4,2 de 5 estrelas"
"Jards Macalé, LP Contrastes- Série Clássicos Em Vinil [Disco de Vinil]",Jards Macaçé,"R$110,00","4,5 de 5 estrelas"
10 Anos [Disco de Vinil],Pagode da 27,"R$48,40",-1
"Dead Fish, LP Ponto Cego [Disco de Vinil]",Dead Fish,"R$95,00","4,8 de 5 estrelas"
Cartola-1974 - Série Clássicos em Vinil [Disco de Vinil],Cartola,"R$110,00","5,0 de 5 estrelas"
Afrociberdelia - Série Clássicos em Vinil [Disco de Vinil],Chico Science & Nação Zumbi,"R$110,00","4,7 de 5 estrelas"
"O Rappa, Duplo O Rappa- Série Clássicos Em Vinil [Disco de Vinil]",O Rappa,"R$200,00","5,0 de 5 estrelas"
"Gal Costa, LP Gal Costa (Capa Foto) - Série Clássicos Em Vinil [Disco de Vinil]",Gal Costa,"R$110,00","5,0 de 5 estrelas"
Célia - Série Clássicos em Vinil [Disco de Vinil],Célia,"R$110,00",-1
"Skank, LP Calango- Série Clássicos Em Vinil [Disco de Vinil]",Skank,"R$110,00","4,2 de 5 estrelas"
Alceu Valença - Série Clássicos Em Vinil [Disco de Vinil],Alceu Valença,"R$504,49","5,0 de 5 estrelas"
"Tribalistas, Lp Tribalistas 1 (2002) - Série Clássicos em Vinil",Tribalistas,"R$100,30","4,0 de 5 estrelas"
"Planet Hemp, Usuário - Série Clássicos em Vinil [Disco de Vinil]",Planet Hemp,"R$110,00",-1
"Pão com Manteiga, Lp ""Pão com Manteiga""",Pão com Manteiga,"R$126,37","5,0 de 5 estrelas"
Se o Acaso É Chorar- Série Clássicos em Vinil [Disco de Vinil],Tom Zé,"R$120,00","5,0 de 5 estrelas"
"Vespas Mandarinas, Lp Daqui Pro Futuro [Disco de Vinil]",Vespas Mandarinas,"R$84,94",-1
"Mutantes, LP Mutantes - Série Clássicos Em Vinil [Disco de Vinil]",Mutantes,"R$110,00","5,0 de 5 estrelas"
"Ira!, Lp ""Isso É Amor""",Ira!,"R$120,00",-1
