Product Name,Author,Price,Ratings
The Great Adventures Of Slick Rick [Disco de Vinil],Slick Rick,"R$803,32","4,5 de 5 estrelas"
Unknown Memory [Disco de Vinil],YUNG LEAN,"R$168,91","4,0 de 5 estrelas"
Guns [Disco de Vinil],Quelle Chris,"R$216,19","4,4 de 5 estrelas"
Free Sweatpants [Disco de Vinil],BLOCKHEAD,"R$195,92","4,6 de 5 estrelas"
i am > i was [Disco de Vinil],21 Savage,"R$230,26","4,4 de 5 estrelas"
The Almighty [Disco de Vinil],Alla Xul Elu,"R$216,36","5,0 de 5 estrelas"
Liquid Swords [Disco de Vinil],GZA,"R$216,21","4,7 de 5 estrelas"
What Happens When I Try To Relax,OPEN MIKE EAGLE,"R$101,71","4,0 de 5 estrelas"
Mos Def & Talib Kweli Are Black Star [Disco de Vinil],BLACK STAR,"R$213,81","3,8 de 5 estrelas"
Back on Da Block,Drive By,"R$163,00",-1
Long.live.a$ap [Disco de Vinil],A$AP Rocky,"R$216,13","4,5 de 5 estrelas"
Silent Partner,HAVOC X THE ALCHEMIST,"R$227,43","4,2 de 5 estrelas"
Camp [Disco de Vinil],Childish Gambino,"R$157,55","4,7 de 5 estrelas"
The Blueprint [Disco de Vinil],JAY-Z,"R$258,59","4,6 de 5 estrelas"
The Post Apocalyptic Word [Disco de Vinil],HOK,"R$157,78",-1
He Unseen,Quasimoto,"R$176,37","4,7 de 5 estrelas"
R&G (Rhythm & Gangsta): The Masterpiece [2 LP],Snoop Dogg,"R$213,15","5,0 de 5 estrelas"
Quarterthing [Disco de Vinil],Joey Purp,"R$143,05","5,0 de 5 estrelas"
GORILLAZ - PLASTIC BEACH,GORILLAZ,"R$269,00","4,7 de 5 estrelas"
Don't Smoke Rock (Turquoise Vinyl),SMOKE DZA X PETE ROCK,"R$181,53","3,5 de 5 estrelas"
When I Wake Up,Maverick Sabre,"R$210,02","4,7 de 5 estrelas"
A Love Letter To You [Disco de Vinil],Trippie Redd,"R$216,36","4,1 de 5 estrelas"
Some Rap Songs [Disco de Vinil],Earl Sweatshirt,"R$174,75","4,7 de 5 estrelas"
Not All Heroes Wear Capes [Disco de Vinil],Metro Boomin,"R$198,16","4,7 de 5 estrelas"
5E [Disco de Vinil],N.O.R.E.,"R$163,59",-1
Birds In The Trap Sing McKnight,Travis Scott,"R$193,21","4,7 de 5 estrelas"
Miseducation of Lauryn Hill [Disco de Vinil],Lauryn Hill,"R$206,55","4,6 de 5 estrelas"
Madvillainy [Disco de Vinil],MADVILLAIN,"R$203,00","4,6 de 5 estrelas"
Further Adventures Of Lord Quas,QUASIMOTO,"R$141,61","4,7 de 5 estrelas"
Flower Boy [Disco de Vinil],"Tyler, The Creator","R$212,59","4,7 de 5 estrelas"
Score [Disco de Vinil],Fugees,"R$250,30","4,5 de 5 estrelas"
"Good Kid, M.A.A.D City [Disco de Vinil]","LAMAR,KENDRICK","R$179,31","4,6 de 5 estrelas"
Iridescence [Disco de Vinil],BROCKHAMPTON,"R$181,35","4,7 de 5 estrelas"
To The 5 Boroughs [Disco de Vinil],Beastie Boys,"R$241,45","4,8 de 5 estrelas"
Beerbongs & Bentleys [Clear],Post Malone,"R$294,39","4,6 de 5 estrelas"
Coming Home,Leon Bridges,"R$138,39","4,6 de 5 estrelas"
The World Is Yours 2,Rich The Kid,"R$184,33","5,0 de 5 estrelas"
ATLiens,OutKast,"R$206,58","4,6 de 5 estrelas"
Bayti Fi Rasi [Disco de Vinil],A-Wa,"R$370,06","4,9 de 5 estrelas"
My Beautiful Dark Twisted Fantasy [Disco de Vinil],"WEST,KANYE","R$233,76","4,4 de 5 estrelas"
Everything Is For Sale,Boogie,"R$183,34","4,4 de 5 estrelas"
Father Of 4,Offset,"R$192,78","4,0 de 5 estrelas"
Chronic (Explicit Version),Dr. Dre,"R$179,84","4,6 de 5 estrelas"
Kids See Ghosts,KIDS SEE GHOSTS/Kanye West/Kid Cudi,"R$169,00","4,7 de 5 estrelas"
Death Race For Love (2LP Set) [Disco de Vinil],Juice WRLD,"R$263,28","4,7 de 5 estrelas"
Midnight Marauders [Disco de Vinil],A Tribe Called Quest,"R$141,04","4,5 de 5 estrelas"
Abominationz [Disco de Vinil],Twiztid,"R$193,77","5,0 de 5 estrelas"
Nice & Smooth [Disco de Vinil],Nice & Smooth,"R$212,13","5,0 de 5 estrelas"
Til The Casket Drops [Disco de Vinil],CLIPSE,"R$191,26",-1
Drogas Wave [Disco de Vinil],Lupe Fiasco,"R$270,27","4,8 de 5 estrelas"
False Hopes [Disco de Vinil],Doomtree,"R$185,65",-1
"The Blueprint, Vol. 3 [Disco de Vinil]",JAY-Z,"R$255,99","4,3 de 5 estrelas"
Man on the Moon: The End of Day [Disco de Vinil],KID CUDI,"R$178,15","4,5 de 5 estrelas"
King Of Crime Heights [Disco de Vinil],RUSTE JUXX & RATICUS,"R$244,77",-1
Light Of Mine,KYLE,"R$237,95","4,5 de 5 estrelas"
Undun [Disco de Vinil],The Roots,"R$180,51","4,6 de 5 estrelas"
Ego Death,The Internet,"R$202,98","4,8 de 5 estrelas"
Wave[s],Mick Jenkins,"R$192,28","5,0 de 5 estrelas"
TA1300 [Disco de Vinil],Denzel Curry,"R$132,98","4,6 de 5 estrelas"
Operation: Doomsday [Disco de Vinil],MF DOOM,"R$213,15","4,8 de 5 estrelas"
Breukelen Story,"ACE,MASTA & MARCO POLO","R$231,61","4,9 de 5 estrelas"
War & Peace Vol. 1 (The War Disc),Ice Cube,"R$192,58","4,7 de 5 estrelas"
When I Get Home [Disco de Vinil],Solange,"R$201,60","4,4 de 5 estrelas"
"And After That, We Didn't Talk",GoldLink,"R$136,64","5,0 de 5 estrelas"
