Product Name,Author,Price,Ratings
Voyage To India,INDIA.ARIE,"R$191,16","4,7 de 5 estrelas"
Partyman [Disco de Vinil],Prince,"R$112,44","4,7 de 5 estrelas"
Acoustic Soul [Disco de Vinil],India.Arie,"R$201,66","4,7 de 5 estrelas"
Dictionary Of Soul,"Redding, Otis","R$192,91","4,5 de 5 estrelas"
Live At The Apollo,"BROWN,JAMES","R$193,31","4,6 de 5 estrelas"
And Now [Disco de Vinil],Booker T & The Mg'S,"R$196,00",-1
East Side Story Volume 10 [Disco de Vinil],Various Artists,"R$193,41","4,7 de 5 estrelas"
Anonymous [Disco de Vinil],blackbear,"R$277,41","4,6 de 5 estrelas"
We Are King,KING,"R$229,00","4,5 de 5 estrelas"
Eccentric Soul: The Prix Label,VARIOUS ARTISTS,"R$252,31","4,8 de 5 estrelas"
All My Relations [Disco de Vinil],COCHEMEA,"R$174,02","4,8 de 5 estrelas"
Great To Be Here / All For Tha Cash [Disco de Vinil],BACAO RHYTHM & STEEL BAND,"R$94,64",-1
I Don't Wanna Wait [Disco de Vinil],"FINNIGAN,KELLY","R$60,99",-1
Pronounced Jah-nay [Disco de Vinil],Zhane,"R$263,25","4,8 de 5 estrelas"
Osmium [Disco de Vinil],PARLIAMENT,"R$206,98","4,4 de 5 estrelas"
Tribute To J.b.'s [Disco de Vinil],unknown-author,"R$94,31",-1
World We Live In: Holland-Dozier-Holland / Various [Disco de Vinil],VARIOUS ARTISTS,"R$267,81","4,5 de 5 estrelas"
Antidote [Disco de Vinil],"JORDAN,RONNY","R$214,17","5,0 de 5 estrelas"
Bolerio [Disco de Vinil],unknown-author,"R$175,77",-1
Afrofilipino [Disco de Vinil],unknown-author,"R$180,89",-1
"Old School, Vol. 2 [Disco de Vinil]",Various Artists,"R$210,78","4,2 de 5 estrelas"
Musicology [Disco de Vinil],Prince,"R$206,05","4,6 de 5 estrelas"
In My Mind [Disco de Vinil],Pharrell,"R$249,11","5,0 de 5 estrelas"
3121,Prince,"R$227,49","4,7 de 5 estrelas"
Collected [Disco de Vinil],COMMODORES,"R$275,37","4,3 de 5 estrelas"
Mais opções de compra,unknown-author,Dancing Shadows [LP],"R$156,36"
Bussin,"MORRISON,DEVIN","R$194,30","5,0 de 5 estrelas"
I Am,EARTH WIND & FIRE,"R$229,47","4,7 de 5 estrelas"
Instrumental Versions: Something About April 2,"YOUNGE,ADRIAN","R$168,28",-1
Samsara,LOS COAST,"R$137,57","5,0 de 5 estrelas"
This Is Where I Live [Disco de Vinil],William Bell,"R$170,26","4,7 de 5 estrelas"
Dancing Machine [Disco de Vinil],The Jackson 5,"R$213,15","4,6 de 5 estrelas"
Enter The 37Th Chamber (Red Vinyl),EL MICHELS AFFAIR,"R$174,92","4,5 de 5 estrelas"
Evol (Pa),Future,"R$139,25","5,0 de 5 estrelas"
Get On The Good Foot [Disco de Vinil],James Brown,"R$200,44",-1
The Heart Speaks In Whispers [Disco de Vinil],Corinne Bailey Rae,"R$208,47","4,4 de 5 estrelas"
The Bright Mississippi,Allen Toussaint,"R$254,20","4,8 de 5 estrelas"
Street Songs [Disco de Vinil],Rick James,"R$156,95","4,8 de 5 estrelas"
I Want You [Disco de Vinil],"GAYE,MARVIN","R$206,01","4,5 de 5 estrelas"
Edu K Me Bota Pra Dancar [Disco de Vinil],EDU K,"R$99,66",-1
Stand! [Disco de Vinil],Sly & The Family Stone,"R$219,00","4,5 de 5 estrelas"
Off The Wall [Disco de Vinil],Michael Jackson,"R$190,47","4,7 de 5 estrelas"
For You [Disco de Vinil],Prince,"R$151,47","4,8 de 5 estrelas"
Mais opções de compra,unknown-author,Life [Disco de Vinil],"R$228,00"
Fresh,Sly & The Family Stone,"R$254,00","4,7 de 5 estrelas"
Dance To The Music,Sly & The Family Stone,"R$213,15","5,0 de 5 estrelas"
Geography [Disco de Vinil],"MISCH,TOM","R$286,92","4,8 de 5 estrelas"
The Incredible True Story [Disco de Vinil],Logic,"R$241,45","4,7 de 5 estrelas"
Can't Slow Down [Reissue],Lionel Richie,"R$208,00","4,6 de 5 estrelas"
New Amerykah Part One: 4th World War [Disco de Vinil],"BADU,ERYKAH","R$202,69","4,2 de 5 estrelas"
World Clique,DEEE-LITE,"R$208,05","4,5 de 5 estrelas"
The Budos Band II [Disco de Vinil],BUDOS BAND,"R$192,00","4,5 de 5 estrelas"
Standards [Disco de Vinil],Seal,"R$291,32","4,5 de 5 estrelas"
Live at the Jazz Cafe London: The Complete Show [Disco de Vinil],D'Angelo,"R$239,44","4,6 de 5 estrelas"
Yesterdays Universe [Disco de Vinil],unknown-author,"R$158,83",-1
Workin' Together,Ike & Tina Turner,"R$182,54","4,0 de 5 estrelas"
Want Me [Disco de Vinil],ALOE BLACC,"R$56,60",-1
Pop Life,Prince and The Revolution,"R$104,08","5,0 de 5 estrelas"
Number Ones,"ROSS,DIANA & THE SUPREMES","R$443,28","4,6 de 5 estrelas"
20 All-Time Greatest Hits!,"BROWN,JAMES","R$292,97","4,6 de 5 estrelas"
Raspberry Beret [Disco de Vinil],Prince and the Revolution,"R$101,00","4,6 de 5 estrelas"
Shaft (Music From the Soundtrack) [Disco de Vinil],"HAYES,ISAAC","R$285,08","4,9 de 5 estrelas"
In Square Circle [Disco de Vinil],"WONDER,STEVIE","R$139,48","4,6 de 5 estrelas"
Gotta Have You (3 Mixes +) [Disco de Vinil],Stevie Wonder,"R$77,04",-1
In Person At The Whisky A Go Go,"Redding, Otis","R$190,17","5,0 de 5 estrelas"
I Learned The Hard Way [Disco de Vinil],"JONES,SHARON & THE DAP-KINGS","R$181,78","4,6 de 5 estrelas"
Strange Arrangement [Disco de Vinil],"HAWTHORNE,MAYER","R$159,13","4,6 de 5 estrelas"
Naturally,"JONES,SHARON & THE DAP-KINGS","R$156,72","4,6 de 5 estrelas"
Bizarre Years [Disco de Vinil],SCREAMIN' JAY HAWKINS,"R$210,51","4,6 de 5 estrelas"
Claude François - Magnolias For Ever [Disco de Vinil],Claude François,"R$288,90",-1
Tuxedo III [Disco de Vinil],TUXEDO (MAYER HAWTHORNE & JAKE ONE),"R$199,00","4,6 de 5 estrelas"
1123 [Disco de Vinil],BJ The Chicago Kid,"R$170,26","4,8 de 5 estrelas"
East Side Story Volume 9,Various Artists,"R$191,39","5,0 de 5 estrelas"
Amazing Grace: The Complete Recordings [Disco de Vinil],Aretha Franklin,"R$797,92","4,5 de 5 estrelas"
East Side Story Volume 8,Various Artists,"R$189,81",-1
Hoax [Disco de Vinil],"GARRETT,KEVIN","R$210,09","2,7 de 5 estrelas"
The Tales People Tell [Disco de Vinil],"FINNIGAN,KELLY","R$185,45","4,5 de 5 estrelas"
"The BEST of EARTH, WIND & FIRE Vol. 1 (1978) [Disco de Vinil]","Earth, Wind & Fire","R$136,64","4,7 de 5 estrelas"
Sounding Out In The City [Disco de Vinil],EL MICHELS AFFAIR,"R$183,34","4,6 de 5 estrelas"
Double Dutchess [Disco de Vinil],Fergie,"R$205,92","4,3 de 5 estrelas"
Invincible,Michael Jackson,"R$273,65","4,6 de 5 estrelas"
Black Moses,Isaac Hayes,"R$272,00","4,1 de 5 estrelas"
Control: The Remixes [Disco de Vinil],Janet Jackson,"R$175,57","4,5 de 5 estrelas"
Up For The Down Stroke [Disco de Vinil],Parliament,"R$208,05","4,7 de 5 estrelas"
Mais opções de compra,unknown-author,Head Games: The Story Of Larry Akles & CBM Records [Disco de Vinil],"R$293,73"
Purple Rain (Picture Disc) [Disco de Vinil],Prince and the Revolution,"R$233,99","4,0 de 5 estrelas"
Control [Disco de Vinil],Janet Jackson,"R$198,00","4,5 de 5 estrelas"
Reworked By Detroiters [Disco de Vinil],FUNKADELIC,"R$360,13","4,1 de 5 estrelas"
Hotter Than July [Disco de Vinil],Stevie Wonder,"R$192,22","4,5 de 5 estrelas"
Alison Moyet - Essex [Disco de Vinil],Alison Moyet,"R$212,13","5,0 de 5 estrelas"
Otis Blue: Otis Redding Sings Soul [Disco de Vinil],Otis Redding,"R$174,00","4,6 de 5 estrelas"
Hello From Las Vegas [Disco de Vinil],Lionel Richie,"R$240,00","4,5 de 5 estrelas"
Alison Moyet - Hoodoo [Disco de Vinil],Alison Moyet,"R$209,07","5,0 de 5 estrelas"
C'Est Chic (2018 Remaster) [Disco de Vinil],Chic,"R$213,15","4,6 de 5 estrelas"
Last Word [Disco de Vinil],The O'Jays,"R$167,61","4,5 de 5 estrelas"
Alison Moyet - Raindancing [Disco de Vinil],Alison Moyet,"R$214,90","4,8 de 5 estrelas"
This Is How You Smile [Disco de Vinil],"NEGRO,HELADO","R$207,00","4,8 de 5 estrelas"
Alison Moyet - Alf [Disco de Vinil],Alison Moyet,"R$214,90","4,8 de 5 estrelas"
Planet Earth,Prince,"R$178,61","4,6 de 5 estrelas"
All Flowers In Time [Disco de Vinil],Space Captain,"R$143,31","5,0 de 5 estrelas"
Village,Jacob Banks,"R$213,15","4,6 de 5 estrelas"
Shaft (Music From the Soundtrack) [Disco de Vinil],Isaac Hayes,"R$401,73","4,8 de 5 estrelas"
Digital Druglord [Disco de Vinil],blackbear,"R$194,17","4,1 de 5 estrelas"
Any Other Way,Jackie Shane,"R$223,82","5,0 de 5 estrelas"
Look-ka Py Py [Disco de Vinil],METERS,"R$210,13","4,4 de 5 estrelas"
Mr. Brown Eyed Soul [Disco de Vinil],SUNNY & THE SUNLINERS,"R$200,67","4,6 de 5 estrelas"
Take Me Apart,KELELA,"R$191,73","4,4 de 5 estrelas"
Very Thought Of You,"COLE,NAT KING","R$238,00","4,9 de 5 estrelas"
Right on Time,The Brothers Johnson,"R$194,79","4,6 de 5 estrelas"
Afterimage [Disco de Vinil],R.Lum.R,"R$206,90",-1
Carla,Carla Thomas,"R$176,50","4,3 de 5 estrelas"
Lonely and Blue: The Deepest Soul Of Otis Redding [Disco de Vinil],"REDDING,OTIS","R$163,10","4,7 de 5 estrelas"
"""Awaken, My Love!""",Childish Gambino,"R$189,00","4,5 de 5 estrelas"
Lemonade [Disco de Vinil],Beyoncé,"R$210,48","4,4 de 5 estrelas"
Drunk [Disco de Vinil],THUNDERCAT,"R$324,47","4,7 de 5 estrelas"
V [Disco de Vinil],BUDOS BAND,"R$147,05","4,6 de 5 estrelas"
What's Going On,"GAYE,MARVIN","R$202,69","4,6 de 5 estrelas"
Tim Maia - Tima Maia (1972) - LP [Disco de Vinil],Tim Maia,"R$152,91","5,0 de 5 estrelas"
Payback [Disco de Vinil],"BROWN,JAMES","R$288,00","4,4 de 5 estrelas"
Talking Book [Disco de Vinil],Stevie Wonder,"R$141,01","4,7 de 5 estrelas"
Bodyrock Shotgun [Disco de Vinil],ZACKEY FORCE FUNK,"R$172,70",-1
I Heard It Through The Grapevine [Disco de Vinil],Marvin Gaye,"R$174,49","3,3 de 5 estrelas"
You're The Man,Marvin Gaye,"R$194,17","4,5 de 5 estrelas"
Aretha Franklin - I Never Loved A Man The Way I [Disco de Vinil],ARETHA FRANKLIN,"R$218,77","4,8 de 5 estrelas"
CTRL [Disco de Vinil],SZA,"R$204,54","4,4 de 5 estrelas"
The 20th Century Records Albums (1973-1979),Barry White,"R$1.045,46","4,8 de 5 estrelas"
24k Magic,Bruno Mars,"R$173,10","4,7 de 5 estrelas"
Baby Huey Story: The Living Legend,Baby Huey,"R$220,00","4,4 de 5 estrelas"
H.E.R. [Disco de Vinil],H.E.R.,"R$216,89","4,5 de 5 estrelas"
Janet. (2 LP) [Disco de Vinil],Janet Jackson,"R$200,44","4,6 de 5 estrelas"
Ventura [Disco de Vinil],Anderson .Paak,"R$250,00","4,4 de 5 estrelas"
Beautiful Trauma,P!nk,"R$216,79","4,7 de 5 estrelas"
Original Musiquarium I,Stevie Wonder,"R$204,87","4,8 de 5 estrelas"
Black Velvet,"BRADLEY,CHARLES","R$162,07","4,8 de 5 estrelas"
Give Me the Night,George Benson,"R$121,00","4,8 de 5 estrelas"
Beauty Behind The Madness,The Weeknd,"R$531,55","4,6 de 5 estrelas"
All For You [Disco de Vinil],Janet Jackson,"R$291,51","4,5 de 5 estrelas"
Collected [Disco de Vinil],"GAYE,MARVIN","R$298,00","4,6 de 5 estrelas"
Crossing,MENAHAN STREET BAND,"R$112,78","4,6 de 5 estrelas"
Unorthodox Jukebox [Disco de Vinil],Bruno Mars,"R$210,61","4,6 de 5 estrelas"
Songs in a Minor: 10th Anniversary Deluxe [Disco de Vinil],Alicia Keys,"R$230,00","4,6 de 5 estrelas"
Testimony 2: Love & Politics [Disco de Vinil],India.Arie,"R$257,60","4,6 de 5 estrelas"
New Orleans Funk 3 / Various,Soul Jazz Records Presents,"R$231,51","4,3 de 5 estrelas"
Mod Anthems - Mod Anthems [Disco de Vinil],Mod Anthems,"R$179,00","5,0 de 5 estrelas"
Return To The 37th Chamber,EL MICHELS AFFAIR,"R$181,78","4,7 de 5 estrelas"
Kids In The Street,"EARLE,JUSTIN TOWNES","R$175,18","4,4 de 5 estrelas"
Robbin's Nest [Disco de Vinil],unknown-author,"R$141,27",-1
Last Night + 2 Bonus Tracks [Disco de Vinil],unknown-author,"R$134,00",-1
Delfonics Instrumentals [Disco de Vinil],DELFONICS,"R$167,35","5,0 de 5 estrelas"
Wake Up,"LEGEND,JOHN & THE ROOTS","R$325,00","4,4 de 5 estrelas"
Jardin [Disco de Vinil],"GARZON-MONTANO,GABRIEL","R$154,84","4,7 de 5 estrelas"
FREE 6LACK [Disco de Vinil],6LACK,"R$182,77","4,6 de 5 estrelas"
Live At The Whiskey A Go Go [Disco de Vinil],Otis Redding,"R$222,66","4,6 de 5 estrelas"
Keep On Pushing [Disco de Vinil],IMPRESSIONS,"R$212,13",-1
Queen Alone Instrumentals [Disco de Vinil],LADY WRAY,"R$171,79","4,6 de 5 estrelas"
Tell It Like It Is,Aaron Neville,"R$142,39","5,0 de 5 estrelas"
Special Night [Disco de Vinil],"FIELDS,LEE & THE EXPRESSIONS","R$175,18","4,4 de 5 estrelas"
Bound To Happen,William Bell,"R$213,15","5,0 de 5 estrelas"
Confessin The Blues / Various [Disco de Vinil],Various Artists,"R$783,06","4,7 de 5 estrelas"
Mais opções de compra,unknown-author,Complete & Unbelievable...The Otis Redding Dictionary Of Soul [Disco de Vinil],"R$294,75"
Skull Snaps [Disco de Vinil],SKULL SNAPS,"R$208,33","5,0 de 5 estrelas"
Spaceark [Disco de Vinil],unknown-author,"R$214,97",-1
Say It Live And Loud: Live In Dallas 8.26.68 [Disco de Vinil],James Brown,"R$253,84","4,8 de 5 estrelas"
Outlook [Disco de Vinil],unknown-author,"R$235,00",-1
In My Mind,Pharrell,"R$207,24","5,0 de 5 estrelas"
It's a Holiday Soul Party [Disco de Vinil],"JONES,SHARON & THE DAP-KINGS","R$154,08","4,7 de 5 estrelas"
Whatcha See Is Whatcha Get [Disco de Vinil],The Dramatics,"R$170,09","4,7 de 5 estrelas"
Brown Sugar,D'Angelo,"R$280,02","4,5 de 5 estrelas"
"The Early Motown 7"" EPs Vinyl Box Set [Disco de Vinil]",Various Artists,"R$474,09","4,9 de 5 estrelas"
House of Balloons [Disco de Vinil],The Weeknd,"R$218,11","4,3 de 5 estrelas"
The Music City Sessions 3-In-1 - Music City Sessions 3-In-1 [Disco de Vinil],The Music City Sessions 3-In-1,"R$341,67",-1
America Eats Its Young [Disco de Vinil],FUNKADELIC,"R$219,09","4,7 de 5 estrelas"
Straight from the Heart [Disco de Vinil],Ann Peebles,"R$195,00","4,4 de 5 estrelas"
Mothership Connection [Disco de Vinil],Parliament,"R$235,21","4,6 de 5 estrelas"
Computer Games,George Clinton,"R$217,15","5,0 de 5 estrelas"
Dance to the Music,SLY & THE FAMILY STONE,"R$220,19","5,0 de 5 estrelas"
Souvenirs Of The Soul Clap 3 / Various [Disco de Vinil],unknown-author,"R$152,30",-1
Private Dancer [Disco de Vinil],"TURNER,TINA","R$192,00","4,7 de 5 estrelas"
Endlessly / Cry [Disco de Vinil],unknown-author,"R$121,00",-1
Spinners,SPINNERS,"R$388,00","4,9 de 5 estrelas"
Heat Is on [Disco de Vinil],The Isley Brothers,"R$423,80","4,6 de 5 estrelas"
Sound of Sinning [Disco de Vinil],MONOPHONICS,"R$173,37","4,6 de 5 estrelas"
Soul Drums [Disco de Vinil],"PURDIE,BERNARD PRETTY","R$282,00","4,8 de 5 estrelas"
